num_robots,boxes,use_hm,fake_hm,counter,carry_counter
1,{'pink': 4},None,True,13047,[1205]
1,{'pink': 5},None,True,11748,[1793]
1,{'pink': 6},None,True,10416,[1569]
1,{'pink': 7},None,True,15408,[1898]
1,{'pink': 8},None,True,8172,[1773]
1,{'pink': 9},None,True,5139,[2278]
1,{'pink': 10},None,True,4505,[1231]
2,{'pink': 4},None,True,14897,"[1566, 1400]"
2,{'pink': 5},None,True,19799,"[685, 484]"
2,{'pink': 6},None,True,9073,"[528, 612]"
2,{'pink': 7},None,True,7580,"[1587, 0]"
2,{'pink': 8},None,True,6112,"[1374, 1516]"
2,{'pink': 9},None,True,4383,"[1632, 818]"
2,{'pink': 10},None,True,3038,"[1260, 168]"
3,{'pink': 4},None,True,11035,"[0, 1652, 676]"
3,{'pink': 5},None,True,7934,"[376, 811, 989]"
3,{'pink': 6},None,True,7896,"[1775, 1319, 209]"
3,{'pink': 7},None,True,7735,"[735, 242, 427]"
3,{'pink': 8},None,True,3645,"[1930, 1495, 228]"
3,{'pink': 9},None,True,4059,"[2077, 1270, 1636]"
3,{'pink': 10},None,True,2734,"[422, 465, 905]"
4,{'pink': 4},None,True,8875,"[941, 360, 0, 466]"
4,{'pink': 5},None,True,4334,"[1715, 559, 1155, 89]"
4,{'pink': 6},None,True,4552,"[414, 154, 0, 1322]"
4,{'pink': 7},None,True,1893,"[281, 0, 766, 1100]"
4,{'pink': 8},None,True,3786,"[0, 340, 665, 1588]"
4,{'pink': 9},None,True,1318,"[420, 930, 110, 573]"
4,{'pink': 10},None,True,2138,"[401, 0, 265, 754]"
5,{'pink': 4},None,True,4757,"[1774, 1435, 193, 367, 0]"
5,{'pink': 5},None,True,5348,"[0, 0, 1345, 280, 1317]"
5,{'pink': 6},None,True,2746,"[980, 1028, 0, 765, 362]"
5,{'pink': 7},None,True,3528,"[325, 1499, 588, 1034, 1845]"
5,{'pink': 8},None,True,4125,"[2081, 0, 1931, 155, 1704]"
5,{'pink': 9},None,True,2312,"[0, 0, 1656, 0, 1005]"
5,{'pink': 10},None,True,2622,"[1207, 0, 0, 265, 1238]"
6,{'pink': 4},None,True,5077,"[398, 0, 0, 991, 208, 1499]"
6,{'pink': 5},None,True,1401,"[356, 0, 482, 0, 273, 0]"
6,{'pink': 6},None,True,3573,"[0, 616, 1913, 0, 1828, 0]"
6,{'pink': 7},None,True,4270,"[0, 1875, 1316, 1531, 375, 192]"
6,{'pink': 8},None,True,949,"[69, 203, 0, 74, 436, 327]"
6,{'pink': 9},None,True,1512,"[1108, 0, 423, 0, 847, 602]"
6,{'pink': 10},None,True,1855,"[1523, 726, 0, 0, 767, 369]"
7,{'pink': 4},None,True,5269,"[0, 1182, 0, 0, 0, 1781, 326]"
7,{'pink': 5},None,True,3840,"[359, 1643, 1833, 0, 0, 0, 0]"
7,{'pink': 6},None,True,3101,"[1202, 0, 1673, 275, 999, 0, 0]"
7,{'pink': 7},None,True,2042,"[414, 0, 276, 1759, 0, 0, 1195]"
7,{'pink': 8},None,True,1255,"[375, 0, 257, 0, 296, 497, 0]"
7,{'pink': 9},None,True,3524,"[162, 0, 974, 0, 1638, 680, 430]"
7,{'pink': 10},None,True,1634,"[327, 0, 0, 845, 273, 781, 0]"
8,{'pink': 4},None,True,9017,"[0, 419, 56, 272, 0, 0, 0, 1913]"
8,{'pink': 5},None,True,3418,"[0, 0, 0, 1084, 273, 0, 0, 1288]"
8,{'pink': 6},None,True,4436,"[2617, 0, 1080, 382, 0, 0, 0, 1222]"
8,{'pink': 7},None,True,2080,"[0, 0, 109, 118, 137, 377, 1527, 0]"
8,{'pink': 8},None,True,2484,"[243, 321, 0, 0, 1234, 1249, 0, 0]"
8,{'pink': 9},None,True,2465,"[1883, 1512, 2106, 2428, 0, 299, 0, 0]"
8,{'pink': 10},None,True,3160,"[1790, 376, 1696, 0, 0, 0, 50, 2030]"
9,{'pink': 4},None,True,2847,"[1604, 0, 631, 0, 0, 169, 0, 0, 0]"
9,{'pink': 5},None,True,2877,"[202, 0, 0, 0, 1010, 0, 358, 0, 120]"
9,{'pink': 6},None,True,2116,"[0, 1896, 350, 236, 430, 1327, 195, 0, 0]"
9,{'pink': 7},None,True,2132,"[1844, 0, 965, 48, 0, 787, 270, 0, 321]"
9,{'pink': 8},None,True,1537,"[251, 1248, 0, 0, 419, 278, 336, 1413, 253]"
9,{'pink': 9},None,True,1926,"[0, 0, 1421, 1002, 0, 268, 0, 16, 149]"
9,{'pink': 10},None,True,682,"[0, 0, 0, 385, 90, 193, 65, 354, 0]"
10,{'pink': 4},None,True,2647,"[294, 0, 2289, 0, 0, 0, 0, 275, 0, 0]"
10,{'pink': 5},None,True,1247,"[0, 0, 190, 337, 0, 0, 320, 0, 0, 861]"
10,{'pink': 6},None,True,2194,"[253, 0, 192, 414, 0, 703, 853, 0, 0, 792]"
10,{'pink': 7},None,True,1728,"[0, 0, 0, 265, 0, 1607, 0, 273, 286, 0]"
10,{'pink': 8},None,True,1566,"[306, 0, 0, 49, 0, 172, 316, 296, 0, 573]"
10,{'pink': 9},None,True,1490,"[236, 321, 338, 0, 0, 0, 10, 0, 0, 307]"
10,{'pink': 10},None,True,578,"[0, 244, 374, 0, 0, 235, 327, 0, 0, 191]"
11,{'pink': 4},None,True,1979,"[0, 0, 0, 327, 202, 0, 0, 0, 0, 275, 273]"
11,{'pink': 5},None,True,2089,"[443, 0, 349, 470, 0, 0, 0, 0, 0, 0, 808]"
11,{'pink': 6},None,True,5031,"[0, 1324, 452, 0, 467, 0, 1802, 303, 1102, 0, 0]"
11,{'pink': 7},None,True,1574,"[952, 417, 358, 0, 0, 220, 0, 0, 340, 0, 0]"
11,{'pink': 8},None,True,1948,"[0, 0, 0, 0, 415, 1743, 1808, 0, 339, 0, 169]"
11,{'pink': 9},None,True,3716,"[2279, 1571, 2385, 191, 0, 0, 191, 1578, 1079, 0, 0]"
11,{'pink': 10},None,True,1166,"[912, 773, 204, 0, 0, 1068, 0, 0, 310, 0, 126]"
12,{'pink': 4},None,True,3665,"[0, 0, 0, 1000, 496, 0, 0, 459, 0, 0, 0, 0]"
12,{'pink': 5},None,True,2078,"[0, 0, 0, 0, 0, 327, 0, 257, 241, 0, 0, 337]"
12,{'pink': 6},None,True,1265,"[313, 561, 0, 57, 0, 347, 748, 0, 0, 0, 346, 0]"
12,{'pink': 7},None,True,2465,"[0, 0, 1335, 242, 0, 921, 2010, 2414, 0, 2277, 0, 0]"
12,{'pink': 8},None,True,973,"[197, 362, 0, 0, 0, 0, 0, 544, 0, 191, 0, 0]"
12,{'pink': 9},None,True,1174,"[68, 0, 0, 0, 389, 324, 928, 18, 266, 0, 0, 1012]"
12,{'pink': 10},None,True,2007,"[1263, 1824, 0, 228, 311, 378, 334, 0, 0, 929, 0, 1766]"
13,{'pink': 4},None,True,2528,"[0, 0, 0, 0, 0, 0, 0, 0, 174, 325, 1584, 0, 0]"
13,{'pink': 5},None,True,3555,"[0, 398, 0, 0, 252, 0, 0, 0, 0, 0, 192, 0, 1243]"
13,{'pink': 6},None,True,438,"[0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 258, 174, 189]"
13,{'pink': 7},None,True,1601,"[0, 356, 0, 0, 190, 0, 0, 383, 102, 0, 0, 0, 274]"
13,{'pink': 8},None,True,1737,"[0, 659, 85, 0, 0, 0, 1383, 0, 1337, 0, 451, 0, 0]"
13,{'pink': 9},None,True,1944,"[0, 0, 236, 0, 1563, 0, 960, 0, 0, 0, 0, 0, 561]"
13,{'pink': 10},None,True,1425,"[0, 1046, 1330, 1163, 900, 138, 0, 911, 1284, 0, 0, 0, 363]"
14,{'pink': 4},None,True,3355,"[348, 0, 1974, 0, 392, 0, 0, 0, 0, 369, 0, 0, 0, 0]"
14,{'pink': 5},None,True,2251,"[0, 0, 0, 346, 0, 0, 0, 0, 1344, 0, 0, 2170, 356, 0]"
14,{'pink': 6},None,True,1758,"[0, 0, 0, 0, 0, 1453, 0, 0, 746, 0, 0, 0, 0, 860]"
14,{'pink': 7},None,True,3472,"[0, 207, 965, 0, 1180, 0, 0, 0, 1700, 2403, 0, 1637, 0, 972]"
14,{'pink': 8},None,True,1075,"[0, 0, 235, 0, 363, 0, 695, 0, 385, 0, 142, 336, 895, 0]"
14,{'pink': 9},None,True,1046,"[0, 0, 0, 0, 382, 0, 748, 717, 348, 358, 0, 0, 235, 0]"
14,{'pink': 10},None,True,1192,"[396, 0, 5, 495, 304, 0, 0, 307, 823, 0, 0, 0, 1093, 0]"
15,{'pink': 4},None,True,2765,"[0, 2516, 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 0, 302, 244]"
15,{'pink': 5},None,True,1266,"[859, 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 57, 0, 376, 311]"
15,{'pink': 6},None,True,889,"[0, 0, 0, 0, 0, 641, 0, 0, 354, 273, 0, 0, 348, 0, 0]"
15,{'pink': 7},None,True,1162,"[317, 0, 89, 0, 845, 1097, 304, 0, 0, 0, 323, 0, 0, 0, 0]"
15,{'pink': 8},None,True,1826,"[90, 0, 0, 0, 0, 0, 76, 0, 1554, 929, 0, 0, 133, 0, 1628]"
15,{'pink': 9},None,True,1900,"[0, 1863, 0, 0, 1362, 655, 0, 385, 0, 237, 1737, 0, 0, 0, 0]"
15,{'pink': 10},None,True,503,"[0, 0, 0, 0, 312, 264, 59, 0, 0, 0, 391, 244, 90, 0, 0]"
16,{'pink': 4},None,True,3146,"[0, 0, 451, 462, 0, 0, 0, 0, 0, 0, 0, 367, 0, 1672, 0, 0]"
16,{'pink': 5},None,True,749,"[0, 0, 252, 322, 0, 0, 0, 0, 0, 0, 0, 0, 465, 126, 162, 0]"
16,{'pink': 6},None,True,1580,"[0, 0, 0, 228, 1543, 0, 0, 0, 0, 925, 169, 272, 0, 0, 0, 0]"
16,{'pink': 7},None,True,1067,"[876, 0, 0, 0, 0, 430, 0, 931, 0, 565, 0, 0, 0, 0, 0, 0]"
16,{'pink': 8},None,True,1239,"[0, 0, 0, 877, 0, 286, 121, 169, 0, 64, 0, 0, 1047, 0, 0, 701]"
16,{'pink': 9},None,True,1075,"[0, 0, 191, 0, 0, 0, 984, 0, 0, 0, 237, 340, 0, 0, 0, 0]"
16,{'pink': 10},None,True,903,"[0, 50, 0, 228, 445, 463, 0, 118, 302, 0, 0, 0, 237, 0, 229, 806]"
17,{'pink': 4},None,True,1617,"[0, 219, 0, 0, 1578, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 173]"
17,{'pink': 5},None,True,1596,"[189, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 337, 0, 0, 269]"
17,{'pink': 6},None,True,973,"[0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 774]"
17,{'pink': 7},None,True,1388,"[0, 192, 0, 1238, 0, 0, 0, 0, 0, 155, 140, 0, 0, 208, 0, 0, 236]"
17,{'pink': 8},None,True,1935,"[1729, 47, 245, 0, 928, 1103, 0, 0, 0, 0, 0, 0, 1487, 0, 195, 0, 0]"
17,{'pink': 9},None,True,1817,"[0, 390, 1327, 0, 0, 0, 1684, 310, 0, 0, 0, 767, 0, 348, 0, 1575, 0]"
17,{'pink': 10},None,True,488,"[197, 0, 271, 0, 0, 179, 0, 191, 260, 0, 324, 0, 0, 0, 0, 0, 0]"
18,{'pink': 4},None,True,4525,"[0, 0, 0, 0, 0, 0, 896, 0, 0, 0, 0, 2745, 0, 0, 0, 221, 0, 0]"
18,{'pink': 5},None,True,3551,"[0, 0, 0, 191, 0, 0, 0, 0, 0, 2183, 191, 0, 0, 1814, 0, 0, 0, 0]"
18,{'pink': 6},None,True,1555,"[311, 0, 0, 0, 0, 0, 0, 936, 0, 0, 0, 612, 0, 0, 359, 0, 192, 0]"
18,{'pink': 7},None,True,1626,"[0, 0, 0, 309, 0, 0, 1280, 304, 0, 303, 0, 0, 223, 0, 1459, 0, 914, 0]"
18,{'pink': 8},None,True,880,"[610, 0, 274, 0, 0, 227, 0, 355, 0, 0, 0, 266, 0, 0, 0, 256, 0, 0]"
18,{'pink': 9},None,True,1687,"[1552, 939, 295, 0, 0, 0, 0, 0, 0, 1493, 727, 0, 0, 0, 391, 0, 0, 0]"
18,{'pink': 10},None,True,1443,"[685, 162, 0, 0, 984, 0, 866, 0, 0, 821, 0, 847, 0, 0, 0, 1392, 0, 0]"
19,{'pink': 4},None,True,1708,"[857, 0, 0, 0, 369, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 311, 0, 0]"
19,{'pink': 5},None,True,3329,"[0, 0, 2703, 1035, 0, 0, 0, 243, 0, 0, 0, 1021, 0, 125, 0, 0, 0, 0, 0]"
19,{'pink': 6},None,True,1136,"[0, 0, 0, 0, 190, 0, 297, 0, 0, 192, 0, 0, 336, 0, 0, 0, 659, 0, 956]"
19,{'pink': 7},None,True,1135,"[0, 0, 0, 0, 0, 0, 637, 0, 0, 174, 362, 364, 0, 85, 33, 0, 0, 0, 0]"
19,{'pink': 8},None,True,1098,"[0, 0, 271, 0, 0, 0, 0, 0, 0, 666, 0, 155, 687, 0, 0, 0, 0, 0, 972]"
19,{'pink': 9},None,True,984,"[0, 0, 303, 119, 0, 0, 287, 686, 0, 0, 273, 0, 927, 0, 0, 0, 0, 0, 0]"
19,{'pink': 10},None,True,2072,"[340, 0, 0, 0, 1726, 1186, 1872, 0, 0, 1545, 273, 0, 1883, 0, 1014, 0, 0, 0, 326]"
20,{'pink': 4},None,True,2445,"[0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 1298, 0, 327, 1713, 0, 0, 0]"
20,{'pink': 5},None,True,1367,"[0, 216, 0, 0, 0, 829, 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 327]"
20,{'pink': 6},None,True,1191,"[221, 0, 0, 0, 0, 204, 0, 0, 0, 0, 382, 325, 0, 0, 0, 0, 0, 0, 0, 1019]"
20,{'pink': 7},None,True,1315,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 207, 1258, 108, 0, 245, 1006, 0, 424]"
20,{'pink': 8},None,True,1127,"[0, 0, 0, 41, 1070, 0, 0, 75, 0, 0, 0, 381, 928, 0, 0, 0, 0, 0, 0, 0]"
