id	exp	type	num_rob	timesteps
0	area_coverage	baseline	5	36981
1	area_coverage	baseline	5	41116
2	area_coverage	baseline	5	38836
3	area_coverage	baseline	5	38567
4	area_coverage	baseline	5	39819
5	area_coverage	baseline	5	42000
6	area_coverage	baseline	5	41333
7	area_coverage	baseline	5	35271
8	area_coverage	baseline	5	37617
9	area_coverage	baseline	5	37649
10	area_coverage	baseline	5	36927
11	area_coverage	baseline	5	38580
12	area_coverage	baseline	5	34819
13	area_coverage	baseline	5	38940
14	area_coverage	baseline	5	35858
15	area_coverage	baseline	5	36476
16	area_coverage	baseline	5	38907
17	area_coverage	baseline	5	36646
18	area_coverage	baseline	5	36090
19	area_coverage	baseline	5	37033
20	area_coverage	baseline	5	36600
21	area_coverage	baseline	5	38743
22	area_coverage	baseline	5	39568
23	area_coverage	baseline	5	36274
24	area_coverage	baseline	5	37651
25	area_coverage	baseline	5	38118
26	area_coverage	baseline	5	35101
27	area_coverage	baseline	5	38231
28	area_coverage	baseline	5	38446
29	area_coverage	baseline	5	39117
30	area_coverage	baseline	5	34943
31	area_coverage	baseline	5	35840
32	area_coverage	baseline	5	38928
33	area_coverage	baseline	5	36847
34	area_coverage	baseline	5	37205
35	area_coverage	baseline	5	38323
36	area_coverage	baseline	5	37697
37	area_coverage	baseline	5	38630
38	area_coverage	baseline	5	36066
39	area_coverage	baseline	5	37192
40	area_coverage	baseline	5	39667
41	area_coverage	baseline	5	37003
42	area_coverage	baseline	5	39023
43	area_coverage	baseline	5	36848
44	area_coverage	baseline	5	36342
45	area_coverage	baseline	5	39217
46	area_coverage	baseline	5	38505
47	area_coverage	baseline	5	37541
48	area_coverage	baseline	5	37585
49	area_coverage	baseline	5	39239
0	area_coverage	baseline	10	18672
1	area_coverage	baseline	10	20725
2	area_coverage	baseline	10	18701
3	area_coverage	baseline	10	19509
4	area_coverage	baseline	10	18532
5	area_coverage	baseline	10	19448
6	area_coverage	baseline	10	19186
7	area_coverage	baseline	10	19540
8	area_coverage	baseline	10	18728
9	area_coverage	baseline	10	18855
10	area_coverage	baseline	10	16997
11	area_coverage	baseline	10	19467
12	area_coverage	baseline	10	18871
13	area_coverage	baseline	10	19725
14	area_coverage	baseline	10	18269
15	area_coverage	baseline	10	17380
16	area_coverage	baseline	10	19516
17	area_coverage	baseline	10	18427
18	area_coverage	baseline	10	18869
19	area_coverage	baseline	10	19656
20	area_coverage	baseline	10	19207
21	area_coverage	baseline	10	20595
22	area_coverage	baseline	10	22637
23	area_coverage	baseline	10	18537
24	area_coverage	baseline	10	17859
25	area_coverage	baseline	10	18348
26	area_coverage	baseline	10	20001
27	area_coverage	baseline	10	19915
28	area_coverage	baseline	10	18104
29	area_coverage	baseline	10	17219
30	area_coverage	baseline	10	18750
31	area_coverage	baseline	10	19350
32	area_coverage	baseline	10	18465
33	area_coverage	baseline	10	19140
34	area_coverage	baseline	10	19722
35	area_coverage	baseline	10	18174
36	area_coverage	baseline	10	18737
37	area_coverage	baseline	10	20767
38	area_coverage	baseline	10	19139
39	area_coverage	baseline	10	18867
40	area_coverage	baseline	10	18231
41	area_coverage	baseline	10	20197
42	area_coverage	baseline	10	18664
43	area_coverage	baseline	10	19595
44	area_coverage	baseline	10	20667
45	area_coverage	baseline	10	20998
46	area_coverage	baseline	10	18156
47	area_coverage	baseline	10	18700
48	area_coverage	baseline	10	20294
49	area_coverage	baseline	10	19160
0	area_coverage	baseline	50	3901
1	area_coverage	baseline	50	4035
2	area_coverage	baseline	50	3783
3	area_coverage	baseline	50	3881
4	area_coverage	baseline	50	3576
5	area_coverage	baseline	50	3715
6	area_coverage	baseline	50	3928
7	area_coverage	baseline	50	4071
8	area_coverage	baseline	50	4277
9	area_coverage	baseline	50	3953
10	area_coverage	baseline	50	4052
11	area_coverage	baseline	50	3849
12	area_coverage	baseline	50	3768
13	area_coverage	baseline	50	3719
14	area_coverage	baseline	50	3836
15	area_coverage	baseline	50	4041
16	area_coverage	baseline	50	3894
17	area_coverage	baseline	50	3880
18	area_coverage	baseline	50	3749
19	area_coverage	baseline	50	3771
20	area_coverage	baseline	50	3864
21	area_coverage	baseline	50	3750
22	area_coverage	baseline	50	4041
23	area_coverage	baseline	50	4195
24	area_coverage	baseline	50	3912
25	area_coverage	baseline	50	3945
26	area_coverage	baseline	50	3827
27	area_coverage	baseline	50	3796
28	area_coverage	baseline	50	3834
29	area_coverage	baseline	50	3720
30	area_coverage	baseline	50	3969
31	area_coverage	baseline	50	3726
32	area_coverage	baseline	50	3900
33	area_coverage	baseline	50	3812
34	area_coverage	baseline	50	3541
35	area_coverage	baseline	50	3975
36	area_coverage	baseline	50	3764
37	area_coverage	baseline	50	3771
38	area_coverage	baseline	50	3778
39	area_coverage	baseline	50	4149
40	area_coverage	baseline	50	3899
