id	exp	type	num_rob	timesteps
0	area_coverage	optimised	5	18822
1	area_coverage	optimised	5	20555
2	area_coverage	optimised	5	19598
3	area_coverage	optimised	5	19472
4	area_coverage	optimised	5	19376
5	area_coverage	optimised	5	21551
6	area_coverage	optimised	5	18696
7	area_coverage	optimised	5	18929
8	area_coverage	optimised	5	50001
9	area_coverage	optimised	5	19366
10	area_coverage	optimised	5	20693
11	area_coverage	optimised	5	20302
12	area_coverage	optimised	5	19857
13	area_coverage	optimised	5	20114
14	area_coverage	optimised	5	20103
15	area_coverage	optimised	5	18773
16	area_coverage	optimised	5	20991
17	area_coverage	optimised	5	19062
18	area_coverage	optimised	5	18959
19	area_coverage	optimised	5	28652
20	area_coverage	optimised	5	18851
21	area_coverage	optimised	5	50001
22	area_coverage	optimised	5	20294
23	area_coverage	optimised	5	18722
24	area_coverage	optimised	5	18648
25	area_coverage	optimised	5	19861
26	area_coverage	optimised	5	20777
27	area_coverage	optimised	5	18755
28	area_coverage	optimised	5	20529
29	area_coverage	optimised	5	19531
30	area_coverage	optimised	5	19330
31	area_coverage	optimised	5	20173
32	area_coverage	optimised	5	19391
33	area_coverage	optimised	5	22360
34	area_coverage	optimised	5	21466
35	area_coverage	optimised	5	18623
36	area_coverage	optimised	5	19363
37	area_coverage	optimised	5	20704
38	area_coverage	optimised	5	23962
39	area_coverage	optimised	5	18815
40	area_coverage	optimised	5	50001
41	area_coverage	optimised	5	18963
42	area_coverage	optimised	5	19200
43	area_coverage	optimised	5	18741
44	area_coverage	optimised	5	20399
45	area_coverage	optimised	5	20480
46	area_coverage	optimised	5	23912
47	area_coverage	optimised	5	18391
48	area_coverage	optimised	5	22060
49	area_coverage	optimised	5	21019
0	area_coverage	optimised	10	9633
1	area_coverage	optimised	10	15286
2	area_coverage	optimised	10	9522
3	area_coverage	optimised	10	9438
4	area_coverage	optimised	10	11164
5	area_coverage	optimised	10	9804
6	area_coverage	optimised	10	9591
7	area_coverage	optimised	10	10257
8	area_coverage	optimised	10	9573
9	area_coverage	optimised	10	10883
10	area_coverage	optimised	10	11059
11	area_coverage	optimised	10	10350
12	area_coverage	optimised	10	9930
13	area_coverage	optimised	10	10064
14	area_coverage	optimised	10	10692
15	area_coverage	optimised	10	9629
16	area_coverage	optimised	10	9721
17	area_coverage	optimised	10	9477
18	area_coverage	optimised	10	10099
19	area_coverage	optimised	10	10130
20	area_coverage	optimised	10	10022
21	area_coverage	optimised	10	11670
22	area_coverage	optimised	10	10840
23	area_coverage	optimised	10	9766
24	area_coverage	optimised	10	10003
25	area_coverage	optimised	10	9909
26	area_coverage	optimised	10	10699
27	area_coverage	optimised	10	9968
28	area_coverage	optimised	10	9403
29	area_coverage	optimised	10	9716
30	area_coverage	optimised	10	10198
31	area_coverage	optimised	10	10618
32	area_coverage	optimised	10	10113
33	area_coverage	optimised	10	9508
34	area_coverage	optimised	10	9656
