id	exp	type	num_rob	time
0	logistics	optimised	200	5264
1	logistics	optimised	200	3501
2	logistics	optimised	200	2783
3	logistics	optimised	200	2616
4	logistics	optimised	200	2649
5	logistics	optimised	200	2468
6	logistics	optimised	200	3141
7	logistics	optimised	200	3095
8	logistics	optimised	200	3558
9	logistics	optimised	200	2234
10	logistics	optimised	200	3620
11	logistics	optimised	200	4774
12	logistics	optimised	200	2620
13	logistics	optimised	200	2852
14	logistics	optimised	200	3709
15	logistics	optimised	200	4044
16	logistics	optimised	200	3684
17	logistics	optimised	200	2288
18	logistics	optimised	200	2487
19	logistics	optimised	200	3692
20	logistics	optimised	200	3343
21	logistics	optimised	200	50001
22	logistics	optimised	200	2599
23	logistics	optimised	200	3071
24	logistics	optimised	200	4007
25	logistics	optimised	200	3119
26	logistics	optimised	200	3108
27	logistics	optimised	200	2189
28	logistics	optimised	200	3168
29	logistics	optimised	200	3123
30	logistics	optimised	200	3432
31	logistics	optimised	200	3233
32	logistics	optimised	200	2153
33	logistics	optimised	200	3363
34	logistics	optimised	200	2780
35	logistics	optimised	200	2644
36	logistics	optimised	200	2518
37	logistics	optimised	200	2825
38	logistics	optimised	200	2789
39	logistics	optimised	200	3442
40	logistics	optimised	200	3479
41	logistics	optimised	200	3122
42	logistics	optimised	200	3052
43	logistics	optimised	200	3830
44	logistics	optimised	200	3879
45	logistics	optimised	200	3344
46	logistics	optimised	200	50001
47	logistics	optimised	200	2870
48	logistics	optimised	200	2639
49	logistics	optimised	200	2904
