id	exp	type	num_rob	timesteps
0	logistics	optimised	5	4410
1	logistics	optimised	5	8600
2	logistics	optimised	5	8501
3	logistics	optimised	5	4613
4	logistics	optimised	5	6945
5	logistics	optimised	5	7377
6	logistics	optimised	5	8447
7	logistics	optimised	5	7927
8	logistics	optimised	5	7557
9	logistics	optimised	5	12130
10	logistics	optimised	5	13943
11	logistics	optimised	5	6496
12	logistics	optimised	5	5332
13	logistics	optimised	5	5208
14	logistics	optimised	5	6115
15	logistics	optimised	5	7140
16	logistics	optimised	5	4917
17	logistics	optimised	5	7191
18	logistics	optimised	5	4243
19	logistics	optimised	5	8811
20	logistics	optimised	5	7188
21	logistics	optimised	5	5191
22	logistics	optimised	5	8222
23	logistics	optimised	5	6724
24	logistics	optimised	5	11165
25	logistics	optimised	5	8457
26	logistics	optimised	5	4535
27	logistics	optimised	5	5789
28	logistics	optimised	5	10296
29	logistics	optimised	5	6615
30	logistics	optimised	5	10707
31	logistics	optimised	5	7828
32	logistics	optimised	5	7296
33	logistics	optimised	5	7620
34	logistics	optimised	5	5792
35	logistics	optimised	5	10807
36	logistics	optimised	5	6448
37	logistics	optimised	5	5741
38	logistics	optimised	5	6062
39	logistics	optimised	5	7136
40	logistics	optimised	5	7467
41	logistics	optimised	5	7747
42	logistics	optimised	5	4311
43	logistics	optimised	5	8498
44	logistics	optimised	5	7265
45	logistics	optimised	5	6656
46	logistics	optimised	5	9355
47	logistics	optimised	5	6744
48	logistics	optimised	5	7027
49	logistics	optimised	5	4854
0	logistics	optimised	10	4450
1	logistics	optimised	10	2910
2	logistics	optimised	10	4044
3	logistics	optimised	10	3038
4	logistics	optimised	10	4304
5	logistics	optimised	10	5570
6	logistics	optimised	10	3990
7	logistics	optimised	10	3380
8	logistics	optimised	10	3714
9	logistics	optimised	10	4467
10	logistics	optimised	10	4231
11	logistics	optimised	10	3845
12	logistics	optimised	10	4544
13	logistics	optimised	10	5002
14	logistics	optimised	10	3651
15	logistics	optimised	10	4712
16	logistics	optimised	10	3763
17	logistics	optimised	10	3317
18	logistics	optimised	10	3265
19	logistics	optimised	10	4053
20	logistics	optimised	10	4763
21	logistics	optimised	10	3928
22	logistics	optimised	10	3525
23	logistics	optimised	10	3039
24	logistics	optimised	10	4925
25	logistics	optimised	10	3536
26	logistics	optimised	10	3414
27	logistics	optimised	10	4256
28	logistics	optimised	10	4015
29	logistics	optimised	10	4255
30	logistics	optimised	10	4142
31	logistics	optimised	10	3893
32	logistics	optimised	10	4238
33	logistics	optimised	10	3931
34	logistics	optimised	10	3342
35	logistics	optimised	10	5042
36	logistics	optimised	10	2814
37	logistics	optimised	10	4449
38	logistics	optimised	10	3291
39	logistics	optimised	10	5161
40	logistics	optimised	10	3298
41	logistics	optimised	10	3480
42	logistics	optimised	10	3704
43	logistics	optimised	10	3283
44	logistics	optimised	10	2956
45	logistics	optimised	10	4451
46	logistics	optimised	10	3906
47	logistics	optimised	10	3579
48	logistics	optimised	10	4729
49	logistics	optimised	10	4676
0	logistics	optimised	50	3006
1	logistics	optimised	50	2861
2	logistics	optimised	50	2558
3	logistics	optimised	50	3042
4	logistics	optimised	50	2228
5	logistics	optimised	50	3588
6	logistics	optimised	50	2535
7	logistics	optimised	50	3423
8	logistics	optimised	50	3154
9	logistics	optimised	50	4241
10	logistics	optimised	50	2910
11	logistics	optimised	50	2910
12	logistics	optimised	50	3488
13	logistics	optimised	50	2904
14	logistics	optimised	50	2465
15	logistics	optimised	50	3093
16	logistics	optimised	50	3725
17	logistics	optimised	50	3655
18	logistics	optimised	50	3197
19	logistics	optimised	50	3275
20	logistics	optimised	50	2903
21	logistics	optimised	50	3265
22	logistics	optimised	50	4695
23	logistics	optimised	50	3271
24	logistics	optimised	50	2894
25	logistics	optimised	50	2774
26	logistics	optimised	50	2173
27	logistics	optimised	50	3181
28	logistics	optimised	50	4547
29	logistics	optimised	50	2860
30	logistics	optimised	50	3522
31	logistics	optimised	50	3436
32	logistics	optimised	50	50001
33	logistics	optimised	50	2898
34	logistics	optimised	50	2771
35	logistics	optimised	50	3014
36	logistics	optimised	50	2640
37	logistics	optimised	50	3108
38	logistics	optimised	50	2783
39	logistics	optimised	50	50001
40	logistics	optimised	50	2479
41	logistics	optimised	50	3362
42	logistics	optimised	50	3059
43	logistics	optimised	50	3208
44	logistics	optimised	50	2903
45	logistics	optimised	50	3315
46	logistics	optimised	50	5513
47	logistics	optimised	50	2969
48	logistics	optimised	50	2879
49	logistics	optimised	50	2960
0	logistics	optimised	100	2717
1	logistics	optimised	100	3014
2	logistics	optimised	100	4282
3	logistics	optimised	100	3333
4	logistics	optimised	100	2788
5	logistics	optimised	100	2875
6	logistics	optimised	100	2881
7	logistics	optimised	100	3713
8	logistics	optimised	100	3354
9	logistics	optimised	100	2318
10	logistics	optimised	100	2953
11	logistics	optimised	100	3209
12	logistics	optimised	100	3334
13	logistics	optimised	100	3227
14	logistics	optimised	100	3055
15	logistics	optimised	100	2817
16	logistics	optimised	100	50001
17	logistics	optimised	100	2058
18	logistics	optimised	100	3696
19	logistics	optimised	100	2899
20	logistics	optimised	100	2780
21	logistics	optimised	100	2849
22	logistics	optimised	100	5098
23	logistics	optimised	100	3266
24	logistics	optimised	100	2894
25	logistics	optimised	100	3450
26	logistics	optimised	100	50001
27	logistics	optimised	100	3710
28	logistics	optimised	100	2431
29	logistics	optimised	100	3479
30	logistics	optimised	100	3115
31	logistics	optimised	100	3160
32	logistics	optimised	100	2734
33	logistics	optimised	100	2900
34	logistics	optimised	100	3164
35	logistics	optimised	100	3480
36	logistics	optimised	100	3075
37	logistics	optimised	100	2960
38	logistics	optimised	100	3533
39	logistics	optimised	100	1928
40	logistics	optimised	100	2844
41	logistics	optimised	100	2777
42	logistics	optimised	100	2793
0	logistics	optimised	200	5264
1	logistics	optimised	200	3501
2	logistics	optimised	200	2783
3	logistics	optimised	200	2616
4	logistics	optimised	200	2649
5	logistics	optimised	200	2468
6	logistics	optimised	200	3141
7	logistics	optimised	200	3095
8	logistics	optimised	200	3558
9	logistics	optimised	200	2234
10	logistics	optimised	200	3620
11	logistics	optimised	200	4774
12	logistics	optimised	200	2620
13	logistics	optimised	200	2852
14	logistics	optimised	200	3709
15	logistics	optimised	200	4044
16	logistics	optimised	200	3684
17	logistics	optimised	200	2288
18	logistics	optimised	200	2487
19	logistics	optimised	200	3692
20	logistics	optimised	200	3343
21	logistics	optimised	200	50001
22	logistics	optimised	200	2599
23	logistics	optimised	200	3071
24	logistics	optimised	200	4007
25	logistics	optimised	200	3119
26	logistics	optimised	200	3108
27	logistics	optimised	200	2189
28	logistics	optimised	200	3168
29	logistics	optimised	200	3123
30	logistics	optimised	200	3432
31	logistics	optimised	200	3233
32	logistics	optimised	200	2153
33	logistics	optimised	200	3363
34	logistics	optimised	200	2780
35	logistics	optimised	200	2644
36	logistics	optimised	200	2518
37	logistics	optimised	200	2825
38	logistics	optimised	200	2789
39	logistics	optimised	200	3442
40	logistics	optimised	200	3479
41	logistics	optimised	200	3122
42	logistics	optimised	200	3052
43	logistics	optimised	200	3830
44	logistics	optimised	200	3879
45	logistics	optimised	200	3344
46	logistics	optimised	200	50001
47	logistics	optimised	200	2870
48	logistics	optimised	200	2639
49	logistics	optimised	200	2904
