id	exp	type	num_rob	timesteps
0	traffic	baseline	5	25523
1	traffic	baseline	5	25747
2	traffic	baseline	5	25647
3	traffic	baseline	5	26809
4	traffic	baseline	5	26214
5	traffic	baseline	5	25964
6	traffic	baseline	5	25588
7	traffic	baseline	5	25451
8	traffic	baseline	5	25474
9	traffic	baseline	5	26188
10	traffic	baseline	5	26022
11	traffic	baseline	5	26481
12	traffic	baseline	5	25597
13	traffic	baseline	5	25832
14	traffic	baseline	5	25725
15	traffic	baseline	5	25803
16	traffic	baseline	5	25681
17	traffic	baseline	5	25989
18	traffic	baseline	5	25823
19	traffic	baseline	5	27543
20	traffic	baseline	5	25766
21	traffic	baseline	5	26453
22	traffic	baseline	5	28058
23	traffic	baseline	5	25957
24	traffic	baseline	5	27506
25	traffic	baseline	5	25874
26	traffic	baseline	5	25663
27	traffic	baseline	5	26059
28	traffic	baseline	5	26197
29	traffic	baseline	5	25608
30	traffic	baseline	5	26190
31	traffic	baseline	5	25659
32	traffic	baseline	5	27220
33	traffic	baseline	5	25597
34	traffic	baseline	5	26199
35	traffic	baseline	5	25940
36	traffic	baseline	5	25829
37	traffic	baseline	5	25702
38	traffic	baseline	5	26028
39	traffic	baseline	5	27716
40	traffic	baseline	5	26108
41	traffic	baseline	5	26175
42	traffic	baseline	5	25925
43	traffic	baseline	5	25594
44	traffic	baseline	5	27128
45	traffic	baseline	5	26167
46	traffic	baseline	5	25807
47	traffic	baseline	5	25888
48	traffic	baseline	5	25730
49	traffic	baseline	5	27617
0	traffic	baseline	10	14353
1	traffic	baseline	10	13479
2	traffic	baseline	10	13479
3	traffic	baseline	10	14139
4	traffic	baseline	10	13413
5	traffic	baseline	10	14273
6	traffic	baseline	10	12930
7	traffic	baseline	10	13132
8	traffic	baseline	10	13502
9	traffic	baseline	10	12779
10	traffic	baseline	10	13228
11	traffic	baseline	10	13935
12	traffic	baseline	10	13835
13	traffic	baseline	10	14363
14	traffic	baseline	10	13585
15	traffic	baseline	10	13370
16	traffic	baseline	10	13187
17	traffic	baseline	10	13191
18	traffic	baseline	10	14710
19	traffic	baseline	10	13199
20	traffic	baseline	10	13894
21	traffic	baseline	10	14842
22	traffic	baseline	10	14356
23	traffic	baseline	10	13538
24	traffic	baseline	10	14459
25	traffic	baseline	10	13433
26	traffic	baseline	10	14293
27	traffic	baseline	10	14026
28	traffic	baseline	10	14204
29	traffic	baseline	10	14598
30	traffic	baseline	10	13757
31	traffic	baseline	10	13908
32	traffic	baseline	10	14481
33	traffic	baseline	10	13863
34	traffic	baseline	10	14117
35	traffic	baseline	10	15835
36	traffic	baseline	10	13107
37	traffic	baseline	10	13201
38	traffic	baseline	10	13324
39	traffic	baseline	10	14384
