id	exp	type	num_rob	timesteps
0	traffic	optimised	5	24656
1	traffic	optimised	5	24680
2	traffic	optimised	5	24497
3	traffic	optimised	5	24789
4	traffic	optimised	5	24446
5	traffic	optimised	5	24619
6	traffic	optimised	5	24778
7	traffic	optimised	5	24739
8	traffic	optimised	5	24509
9	traffic	optimised	5	24483
10	traffic	optimised	5	24349
11	traffic	optimised	5	24520
12	traffic	optimised	5	24538
13	traffic	optimised	5	24574
14	traffic	optimised	5	24760
15	traffic	optimised	5	24334
16	traffic	optimised	5	24655
17	traffic	optimised	5	24611
18	traffic	optimised	5	24595
19	traffic	optimised	5	24529
20	traffic	optimised	5	24735
21	traffic	optimised	5	24603
22	traffic	optimised	5	24536
23	traffic	optimised	5	24486
24	traffic	optimised	5	24589
25	traffic	optimised	5	24604
26	traffic	optimised	5	24656
27	traffic	optimised	5	24609
28	traffic	optimised	5	24564
29	traffic	optimised	5	24716
30	traffic	optimised	5	24507
31	traffic	optimised	5	24618
32	traffic	optimised	5	24528
33	traffic	optimised	5	24825
34	traffic	optimised	5	24461
35	traffic	optimised	5	24515
36	traffic	optimised	5	24478
37	traffic	optimised	5	24676
38	traffic	optimised	5	24717
39	traffic	optimised	5	24659
40	traffic	optimised	5	24437
41	traffic	optimised	5	24422
42	traffic	optimised	5	24647
43	traffic	optimised	5	24527
44	traffic	optimised	5	24438
45	traffic	optimised	5	24635
46	traffic	optimised	5	24621
47	traffic	optimised	5	24565
48	traffic	optimised	5	24593
49	traffic	optimised	5	24737
0	traffic	optimised	10	12207
1	traffic	optimised	10	12141
2	traffic	optimised	10	12183
3	traffic	optimised	10	12229
4	traffic	optimised	10	12038
5	traffic	optimised	10	11972
6	traffic	optimised	10	12122
7	traffic	optimised	10	12053
8	traffic	optimised	10	12140
9	traffic	optimised	10	12296
10	traffic	optimised	10	12295
11	traffic	optimised	10	12195
12	traffic	optimised	10	12244
13	traffic	optimised	10	12258
14	traffic	optimised	10	12085
15	traffic	optimised	10	12102
16	traffic	optimised	10	12315
17	traffic	optimised	10	11938
18	traffic	optimised	10	11997
19	traffic	optimised	10	11968
20	traffic	optimised	10	12242
21	traffic	optimised	10	12076
22	traffic	optimised	10	17286
23	traffic	optimised	10	12219
24	traffic	optimised	10	14395
25	traffic	optimised	10	12173
26	traffic	optimised	10	12090
27	traffic	optimised	10	12094
28	traffic	optimised	10	11988
29	traffic	optimised	10	12118
30	traffic	optimised	10	12161
31	traffic	optimised	10	12110
32	traffic	optimised	10	12247
33	traffic	optimised	10	12123
34	traffic	optimised	10	12138
35	traffic	optimised	10	19664
36	traffic	optimised	10	12075
37	traffic	optimised	10	12310
38	traffic	optimised	10	12324
39	traffic	optimised	10	12117
40	traffic	optimised	10	12120
41	traffic	optimised	10	12043
42	traffic	optimised	10	12132
43	traffic	optimised	10	12040
44	traffic	optimised	10	15359
45	traffic	optimised	10	12035
46	traffic	optimised	10	12277
47	traffic	optimised	10	12025
48	traffic	optimised	10	12146
49	traffic	optimised	10	12125
0	traffic	optimised	50	2809
1	traffic	optimised	50	2577
2	traffic	optimised	50	2509
3	traffic	optimised	50	2522
4	traffic	optimised	50	2653
5	traffic	optimised	50	2588
6	traffic	optimised	50	2489
7	traffic	optimised	50	2437
8	traffic	optimised	50	2569
9	traffic	optimised	50	2471
10	traffic	optimised	50	2559
11	traffic	optimised	50	2427
12	traffic	optimised	50	2610
13	traffic	optimised	50	2392
14	traffic	optimised	50	2499
15	traffic	optimised	50	2590
16	traffic	optimised	50	2533
17	traffic	optimised	50	2529
18	traffic	optimised	50	2660
19	traffic	optimised	50	2462
20	traffic	optimised	50	6529
21	traffic	optimised	50	2658
22	traffic	optimised	50	2567
23	traffic	optimised	50	2598
24	traffic	optimised	50	2583
25	traffic	optimised	50	2520
26	traffic	optimised	50	2334
27	traffic	optimised	50	2478
28	traffic	optimised	50	2771
