num num_robots	w	run_time	selected_info_types
10	0	5053	[]
10	0	3137	[]
10	0	4916	[]
10	0	9979	[]
10	0	4158	[]
10	0	4360	[]
10	0	6497	[]
10	0	4026	[]
10	0	9265	[]
10	0	5813	[]
10	1	3050	['robot_led_status']
10	1	13288	['robot_led_status']
10	1	17227	['robot_led_status']
10	1	6181	['robot_led_status']
10	1	3352	['robot_led_status']
10	1	5687	['robot_led_status']
10	1	9533	['robot_led_status']
10	1	5119	['robot_led_status']
10	1	5066	['robot_led_status']
10	1	19048	['robot_led_status']
10	1	3903	['task_progress_status']
10	1	4466	['task_progress_status']
10	1	4321	['task_progress_status']
10	1	5949	['task_progress_status']
10	1	5816	['task_progress_status']
10	1	4006	['task_progress_status']
10	1	3601	['task_progress_status']
10	1	7726	['task_progress_status']
10	1	9787	['task_progress_status']
10	1	4866	['task_progress_status']
10	2	5926	['task_progress_status', 'robot_heading_status']
10	2	6320	['task_progress_status', 'robot_heading_status']
10	2	5184	['task_progress_status', 'robot_heading_status']
10	2	6883	['task_progress_status', 'robot_heading_status']
10	2	3634	['task_progress_status', 'robot_heading_status']
10	2	4545	['task_progress_status', 'robot_heading_status']
10	2	4687	['task_progress_status', 'robot_heading_status']
10	2	6294	['task_progress_status', 'robot_heading_status']
10	2	4058	['task_progress_status', 'robot_heading_status']
10	2	3387	['task_progress_status', 'robot_heading_status']
10	2	4211	['task_progress_status', 'robot_speed_status']
10	2	4258	['task_progress_status', 'robot_speed_status']
10	2	5812	['task_progress_status', 'robot_speed_status']
10	2	5088	['task_progress_status', 'robot_speed_status']
10	2	5211	['task_progress_status', 'robot_speed_status']
10	2	5359	['task_progress_status', 'robot_speed_status']
10	2	4797	['task_progress_status', 'robot_speed_status']
10	2	3858	['task_progress_status', 'robot_speed_status']
10	2	8020	['task_progress_status', 'robot_speed_status']
10	2	10288	['task_progress_status', 'robot_speed_status']
10	2	3017	['task_progress_status', 'waypoint']
10	2	6163	['task_progress_status', 'waypoint']
10	2	7220	['task_progress_status', 'waypoint']
10	2	6406	['task_progress_status', 'waypoint']
10	2	5811	['task_progress_status', 'waypoint']
10	2	4735	['task_progress_status', 'waypoint']
10	2	17625	['task_progress_status', 'waypoint']
10	2	4025	['task_progress_status', 'waypoint']
10	2	7310	['task_progress_status', 'waypoint']
10	2	5249	['task_progress_status', 'waypoint']
10	2	9825	['task_progress_status', 'robot_lifter_status']
10	2	9517	['task_progress_status', 'robot_lifter_status']
10	2	50001	['task_progress_status', 'robot_lifter_status']
10	2	5222	['task_progress_status', 'robot_lifter_status']
10	2	3857	['task_progress_status', 'robot_lifter_status']
10	2	6087	['task_progress_status', 'robot_lifter_status']
10	2	6218	['task_progress_status', 'robot_lifter_status']
10	2	3767	['task_progress_status', 'robot_lifter_status']
10	2	5451	['task_progress_status', 'robot_lifter_status']
10	2	3663	['task_progress_status', 'robot_lifter_status']
10	2	3723	['task_progress_status', 'robot_position_status']
10	2	4052	['task_progress_status', 'robot_position_status']
10	2	5588	['task_progress_status', 'robot_position_status']
10	2	3020	['task_progress_status', 'robot_position_status']
10	2	4709	['task_progress_status', 'robot_position_status']
10	2	2816	['task_progress_status', 'robot_position_status']
10	2	4339	['task_progress_status', 'robot_position_status']
10	2	4768	['task_progress_status', 'robot_position_status']
10	2	3261	['task_progress_status', 'robot_position_status']
10	2	4116	['task_progress_status', 'robot_position_status']
10	3	4696	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3022	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3162	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3347	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3708	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	4111	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3467	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3129	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	6012	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	4672	['task_progress_status', 'robot_position_status', 'robot_task_id_status']
10	3	3941	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3408	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3696	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3341	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3138	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3399	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3553	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3274	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	3572	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	4086	['task_progress_status', 'robot_position_status', 'task_completion_status']
10	3	4627	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	5691	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	3485	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	3799	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	3545	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	6027	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	4362	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	3617	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	2631	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
10	3	6300	['task_progress_status', 'robot_position_status', 'robot_pheromone_map']
