id	exp	type	num_rob	time
0	logistics	baseline	5	11308
1	logistics	baseline	5	13504
2	logistics	baseline	5	18760
3	logistics	baseline	5	13216
4	logistics	baseline	5	9319
5	logistics	baseline	5	14335
6	logistics	baseline	5	11273
7	logistics	baseline	5	14615
8	logistics	baseline	5	8047
9	logistics	baseline	5	12961
10	logistics	baseline	5	17479
11	logistics	baseline	5	18941
12	logistics	baseline	5	12275
13	logistics	baseline	5	16083
14	logistics	baseline	5	8510
15	logistics	baseline	5	13235
16	logistics	baseline	5	8101
17	logistics	baseline	5	13303
18	logistics	baseline	5	13363
19	logistics	baseline	5	11940
20	logistics	baseline	5	9937
21	logistics	baseline	5	5325
22	logistics	baseline	5	7975
23	logistics	baseline	5	9121
24	logistics	baseline	5	8680
25	logistics	baseline	5	10909
26	logistics	baseline	5	12331
27	logistics	baseline	5	13618
28	logistics	baseline	5	18500
29	logistics	baseline	5	12894
30	logistics	baseline	5	18159
31	logistics	baseline	5	13390
32	logistics	baseline	5	7444
33	logistics	baseline	5	9226
34	logistics	baseline	5	9386
35	logistics	baseline	5	8471
36	logistics	baseline	5	21932
37	logistics	baseline	5	8932
38	logistics	baseline	5	6315
39	logistics	baseline	5	8486
40	logistics	baseline	5	6493
41	logistics	baseline	5	10642
42	logistics	baseline	5	7821
43	logistics	baseline	5	7207
44	logistics	baseline	5	11545
45	logistics	baseline	5	6903
46	logistics	baseline	5	9033
47	logistics	baseline	5	9633
48	logistics	baseline	5	6328
49	logistics	baseline	5	7038
0	logistics	baseline	10	4609
1	logistics	baseline	10	7396
2	logistics	baseline	10	3801
3	logistics	baseline	10	4460
4	logistics	baseline	10	3878
5	logistics	baseline	10	7000
6	logistics	baseline	10	8309
7	logistics	baseline	10	5417
8	logistics	baseline	10	4590
9	logistics	baseline	10	9899
10	logistics	baseline	10	4762
11	logistics	baseline	10	2660
12	logistics	baseline	10	9843
13	logistics	baseline	10	6256
14	logistics	baseline	10	6803
15	logistics	baseline	10	4524
16	logistics	baseline	10	17489
17	logistics	baseline	10	4112
18	logistics	baseline	10	7459
19	logistics	baseline	10	8913
20	logistics	baseline	10	5024
21	logistics	baseline	10	4464
22	logistics	baseline	10	4733
23	logistics	baseline	10	7080
24	logistics	baseline	10	7551
25	logistics	baseline	10	10044
26	logistics	baseline	10	3060
27	logistics	baseline	10	4803
28	logistics	baseline	10	4302
29	logistics	baseline	10	7979
30	logistics	baseline	10	5319
31	logistics	baseline	10	3878
32	logistics	baseline	10	5354
33	logistics	baseline	10	5117
34	logistics	baseline	10	3813
35	logistics	baseline	10	6617
36	logistics	baseline	10	4591
37	logistics	baseline	10	5130
38	logistics	baseline	10	5577
39	logistics	baseline	10	4305
40	logistics	baseline	10	4634
41	logistics	baseline	10	9460
42	logistics	baseline	10	5401
43	logistics	baseline	10	5167
44	logistics	baseline	10	8534
45	logistics	baseline	10	3436
46	logistics	baseline	10	8202
47	logistics	baseline	10	6804
48	logistics	baseline	10	9710
49	logistics	baseline	10	8036
0	logistics	baseline	50	3366
1	logistics	baseline	50	2498
2	logistics	baseline	50	1944
3	logistics	baseline	50	2142
4	logistics	baseline	50	3177
5	logistics	baseline	50	2819
6	logistics	baseline	50	2176
7	logistics	baseline	50	2495
8	logistics	baseline	50	1477
9	logistics	baseline	50	2376
10	logistics	baseline	50	2340
11	logistics	baseline	50	2584
12	logistics	baseline	50	2892
13	logistics	baseline	50	1834
14	logistics	baseline	50	2139
15	logistics	baseline	50	2519
16	logistics	baseline	50	2495
17	logistics	baseline	50	2217
18	logistics	baseline	50	2379
19	logistics	baseline	50	3318
20	logistics	baseline	50	2220
21	logistics	baseline	50	2805
22	logistics	baseline	50	2760
23	logistics	baseline	50	2926
24	logistics	baseline	50	3339
25	logistics	baseline	50	2268
26	logistics	baseline	50	2492
27	logistics	baseline	50	2253
28	logistics	baseline	50	2556
29	logistics	baseline	50	2267
30	logistics	baseline	50	2653
31	logistics	baseline	50	1986
32	logistics	baseline	50	2672
33	logistics	baseline	50	2332
34	logistics	baseline	50	2447
35	logistics	baseline	50	2539
36	logistics	baseline	50	2071
37	logistics	baseline	50	2180
38	logistics	baseline	50	2371
39	logistics	baseline	50	3895
40	logistics	baseline	50	2469
41	logistics	baseline	50	2720
42	logistics	baseline	50	2050
43	logistics	baseline	50	2109
44	logistics	baseline	50	2081
45	logistics	baseline	50	1565
46	logistics	baseline	50	2360
47	logistics	baseline	50	2053
48	logistics	baseline	50	1885
49	logistics	baseline	50	2870
