id	exp	type	num_rob	time	compu_time_total	compu_time_comms
0	logistics	optimised	10	5128	3.0570629358291628	0.14778542518615723
1	logistics	optimised	10	3613	2.5347532987594605	0.12000610828399658
2	logistics	optimised	10	4223	2.6246516704559326	0.12404372692108154
3	logistics	optimised	10	5579	4.002602362632752	0.18894202709198
4	logistics	optimised	10	3590	2.4095370769500732	0.11178486347198487
5	logistics	optimised	10	3675	2.615287661552429	0.1223787784576416
6	logistics	optimised	10	6588	4.092147755622864	0.19693729877471924
7	logistics	optimised	10	3391	2.3514368534088135	0.11029400825500488
8	logistics	optimised	10	3431	2.150000047683716	0.10041968822479248
9	logistics	optimised	10	4183	3.0484798908233643	0.14252972602844238
10	logistics	optimised	10	3744	2.1886394739151003	0.10367400646209717
11	logistics	optimised	10	4195	3.0529441595077516	0.14127914905548095
12	logistics	optimised	10	4456	4.308736371994018	0.18513543605804444
13	logistics	optimised	10	4284	3.4891446113586424	0.15674958229064942
14	logistics	optimised	10	4317	2.734928250312805	0.1287994146347046
15	logistics	optimised	10	3887	2.9133376359939573	0.13554468154907226
16	logistics	optimised	10	5573	5.11942183971405	0.22665653228759766
17	logistics	optimised	10	4417	6.283685398101807	0.25458698272705077
18	logistics	optimised	10	3241	2.142036294937134	0.09881889820098877
19	logistics	optimised	10	5629	4.143955659866333	0.1906294345855713
20	logistics	optimised	10	4287	3.365029311180115	0.1549889326095581
21	logistics	optimised	10	4967	3.593542981147766	0.16839935779571533
22	logistics	optimised	10	3720	2.992258882522583	0.13598520755767823
23	logistics	optimised	10	5272	4.3472578763961796	0.19748420715332032
24	logistics	optimised	10	4951	3.491356897354126	0.1765892267227173
25	logistics	optimised	10	4397	3.5422553539276125	0.1621476650238037
26	logistics	optimised	10	4828	3.3146955013275146	0.15817041397094728
27	logistics	optimised	10	4661	3.470977854728699	0.16148686408996582
28	logistics	optimised	10	3601	2.6114450693130493	0.12098097801208496
29	logistics	optimised	10	2954	2.0570151567459107	0.09741606712341308
30	logistics	optimised	10	4816	3.3843369007110597	0.15875372886657715
31	logistics	optimised	10	3634	2.515312433242798	0.1194955587387085
32	logistics	optimised	10	4700	3.2555453062057493	0.15412797927856445
33	logistics	optimised	10	6563	4.506389856338501	0.21501872539520264
34	logistics	optimised	10	5012	3.5391839265823366	0.16970176696777345
35	logistics	optimised	10	4073	3.137657880783081	0.144624924659729
36	logistics	optimised	10	4104	3.5247727632522583	0.15794026851654053
37	logistics	optimised	10	3356	2.304528570175171	0.10971863269805908
38	logistics	optimised	10	4013	2.8103489875793457	0.13272325992584227
39	logistics	optimised	10	5461	3.421073889732361	0.16375901699066162
40	logistics	optimised	10	3826	3.1812998771667482	0.14382486343383788
41	logistics	optimised	10	4734	2.8255781650543215	0.13643245697021483
42	logistics	optimised	10	4235	2.8110018253326414	0.13306429386138915
43	logistics	optimised	10	4569	2.730261540412903	0.12803237438201903
44	logistics	optimised	10	6292	4.0676442861557005	0.19268288612365722
45	logistics	optimised	10	3963	2.200567603111267	0.10351216793060303
46	logistics	optimised	10	6406	4.046293330192566	0.19723422527313234
47	logistics	optimised	10	4762	2.6097157478332518	0.12369437217712402
48	logistics	optimised	10	2987	2.1551218032836914	0.0995828628540039
49	logistics	optimised	10	3968	2.3969510316848757	0.11253969669342041
0	logistics	optimised	50	2675	1.9318976020812988	0.07414291381835937
1	logistics	optimised	50	2006	1.670175051689148	0.06470234394073486
2	logistics	optimised	50	2590	1.7803248357772827	0.07039514064788818
3	logistics	optimised	50	1621	1.1857684326171876	0.04771438121795654
4	logistics	optimised	50	2373	1.6572986268997192	0.06363237857818603
5	logistics	optimised	50	1896	1.3930990839004516	0.054839563369750974
6	logistics	optimised	50	2472	1.840792827606201	0.07042645454406739
7	logistics	optimised	50	2130	1.762910213470459	0.06838457107543945
8	logistics	optimised	50	1701	1.2070304727554322	0.04638885021209717
9	logistics	optimised	50	1498	1.2715081262588501	0.0494219970703125
10	logistics	optimised	50	1906	1.5391410779953003	0.05761817932128906
11	logistics	optimised	50	1554	1.155940761566162	0.04629562854766846
12	logistics	optimised	50	1810	1.273561372756958	0.04916947841644287
13	logistics	optimised	50	1765	1.3583934307098389	0.05368753433227539
14	logistics	optimised	50	1823	2.6604922294616697	0.08871212482452392
