INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 1, 0, 0, 1, 1, 0, 1, 0]	15179.2	5	0.8829086044751919
0	[1, 0, 0, 1, 0, 1, 0, 0, 0]	13121.0	3	0.746666576586315
0	[1, 0, 0, 1, 0, 1, 0, 1, 1]	12973.8	5	0.7637106799264944
0	[0, 0, 0, 1, 0, 0, 0, 1, 0]	18281.8	2	1.0130985839368716
0	[0, 1, 0, 0, 1, 1, 1, 1, 1]	17969.6	6	1.0462247324613554
0	[1, 1, 1, 1, 1, 0, 1, 1, 1]	12940.0	8	0.799383850394552
0	[0, 1, 1, 1, 0, 0, 0, 1, 0]	18502.0	4	1.05
0	[1, 1, 1, 0, 1, 1, 0, 0, 1]	14856.4	6	0.8779618419630311
0	[0, 1, 1, 1, 0, 0, 1, 0, 0]	14907.8	4	0.8557399200086477
0	[0, 1, 1, 0, 1, 1, 1, 1, 1]	17792.0	7	1.0491257701870067
1	[1, 0, 0, 1, 0, 1, 0, 0, 0]	12953.4	3	0.7554740156083718
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	13084.2	5	0.7877239269244414
1	[1, 1, 1, 1, 1, 0, 1, 1, 1]	12921.0	8	0.8161781660163179
1	[1, 0, 0, 1, 0, 1, 0, 1, 0]	12980.8	4	0.7694927279177014
1	[0, 1, 1, 1, 0, 1, 0, 1, 0]	18041.6	5	1.0625
1	[1, 0, 0, 1, 0, 1, 1, 1, 1]	13020.2	6	0.7966765697055695
1	[0, 1, 1, 0, 1, 1, 0, 0, 0]	16187.2	4	0.9472153245831857
1	[1, 0, 0, 1, 0, 1, 0, 0, 1]	13027.2	4	0.7720645619013836
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	12995.2	5	0.7827908832919476
1	[1, 0, 0, 0, 1, 1, 1, 1, 1]	14705.6	6	0.8900940049663002
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	13065.8	3	0.7379063340945397
2	[1, 0, 0, 1, 0, 1, 0, 1, 0]	12930.2	4	0.7431373495009275
2	[1, 0, 0, 1, 0, 1, 0, 0, 1]	12931.2	4	0.7431909555820013
2	[1, 0, 0, 1, 0, 1, 0, 0, 1]	13029.4	4	0.7484550727434521
2	[1, 0, 0, 1, 0, 1, 1, 1, 1]	13002.6	6	0.7720184297706734
2	[0, 1, 1, 1, 1, 1, 1, 1, 1]	18146.0	8	1.0727359471658466
2	[1, 1, 1, 0, 1, 1, 0, 0, 0]	15131.0	5	0.8736136127282279
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	12983.2	5	0.7584784717978409
2	[0, 1, 1, 1, 0, 1, 1, 1, 0]	18654.6	6	1.075
2	[1, 0, 0, 0, 0, 1, 0, 0, 1]	15206.6	3	0.85266623245741
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	12895.4	3	0.7406073132987759
3	[1, 0, 0, 1, 0, 1, 0, 1, 0]	13037.2	4	0.7625656065016719
3	[1, 0, 0, 1, 0, 1, 0, 0, 1]	13118.0	4	0.7669375696646358
3	[0, 0, 1, 1, 0, 1, 1, 1, 0]	18481.4	5	1.0714285714285714
3	[0, 1, 0, 0, 0, 1, 0, 1, 1]	18121.4	4	1.0376638133474736
3	[0, 1, 0, 0, 0, 0, 0, 0, 1]	15284.2	2	0.8555758762864285
3	[1, 1, 1, 1, 0, 1, 1, 1, 0]	13017.0	7	0.8043297585680738
3	[0, 1, 0, 1, 0, 1, 0, 0, 1]	16426.8	4	0.9459716255262046
3	[1, 0, 0, 1, 0, 1, 1, 1, 1]	13023.6	6	0.790401160085275
3	[1, 1, 0, 1, 0, 0, 0, 0, 1]	12876.0	4	0.7538433235577391
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	13061.8	3	0.7586898824855749
4	[1, 1, 0, 1, 0, 0, 0, 0, 1]	12992.2	4	0.7691612711287179
4	[1, 0, 0, 1, 0, 1, 0, 1, 0]	13016.0	4	0.7704655951271834
4	[0, 1, 0, 1, 0, 1, 0, 1, 1]	18247.0	5	1.0714285714285714
4	[1, 0, 0, 1, 0, 1, 1, 0, 1]	13067.0	5	0.7875462894096094
