INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[0, 1, 1, 0, 0, 0, 0, 1, 1]	15313.0	4	16.4
0	[1, 1, 0, 1, 0, 0, 0, 1, 1]	5344.0	5	6.800000000000001
0	[1, 1, 0, 1, 0, 0, 1, 0, 1]	4565.0	5	5.6000000000000005
0	[0, 1, 0, 0, 1, 0, 0, 0, 1]	13118.0	3	10.8
0	[1, 0, 0, 1, 0, 1, 0, 1, 1]	6800.0	5	11.4
0	[0, 1, 1, 0, 1, 0, 1, 1, 0]	11996.0	5	13.2
0	[0, 1, 0, 0, 1, 0, 1, 0, 0]	14864.0	3	13.6
0	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4852.0	5	9.0
0	[1, 1, 0, 0, 1, 0, 0, 1, 0]	12242.0	4	10.2
0	[0, 1, 0, 1, 1, 0, 1, 0, 1]	14311.0	5	19.8
0	[1, 0, 1, 0, 1, 1, 1, 0, 0]	12742.0	5	18.6
0	[0, 0, 1, 0, 1, 1, 0, 0, 1]	12603.0	4	12.0
0	[0, 0, 1, 0, 0, 0, 0, 0, 1]	15064.0	2	13.0
0	[1, 0, 0, 1, 0, 0, 1, 1, 1]	6086.0	5	14.4
0	[1, 0, 1, 1, 0, 0, 1, 0, 1]	5354.0	5	14.200000000000001
1	[1, 1, 0, 1, 0, 0, 1, 0, 1]	4316.0	5	4.0
1	[1, 1, 0, 1, 0, 0, 0, 1, 1]	5739.0	5	11.8
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4426.0	5	6.6000000000000005
1	[1, 1, 0, 0, 1, 0, 0, 1, 0]	10842.0	4	12.6
1	[0, 1, 0, 0, 1, 0, 0, 0, 1]	12039.0	3	14.0
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5277.0	5	9.4
1	[1, 1, 1, 1, 0, 0, 1, 0, 1]	5949.0	6	18.4
1	[0, 1, 0, 0, 0, 0, 0, 1, 1]	11743.0	3	12.8
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5403.0	5	12.2
1	[1, 1, 0, 1, 0, 0, 0, 1, 1]	5620.0	5	14.0
1	[1, 1, 0, 1, 0, 0, 0, 1, 0]	6195.0	4	11.4
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4481.0	5	10.8
1	[1, 1, 0, 1, 0, 0, 1, 0, 1]	5358.0	5	13.600000000000001
1	[1, 1, 0, 0, 1, 0, 0, 1, 0]	11967.0	4	16.2
1	[1, 0, 1, 1, 0, 1, 0, 1, 1]	6595.0	6	21.200000000000003
2	[1, 1, 0, 1, 0, 0, 1, 0, 1]	5961.0	5	13.2
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5716.0	5	11.0
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5110.0	5	8.8
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	6097.0	5	16.6
2	[1, 1, 0, 1, 0, 0, 0, 1, 0]	4869.0	4	2.8
2	[1, 1, 0, 1, 0, 0, 0, 1, 1]	5197.0	5	12.4
2	[1, 0, 1, 1, 0, 1, 0, 1, 1]	5745.0	6	17.6
2	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5772.0	4	10.6
2	[1, 0, 0, 0, 0, 1, 1, 1, 1]	12488.0	5	21.2
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4407.0	5	8.0
2	[1, 1, 0, 1, 0, 0, 1, 1, 1]	4998.0	6	13.4
2	[1, 0, 0, 1, 0, 0, 0, 0, 1]	6370.0	3	12.0
2	[1, 1, 1, 1, 0, 1, 0, 1, 1]	4531.0	7	12.200000000000001
2	[1, 0, 0, 1, 0, 0, 1, 0, 1]	6895.0	4	15.4
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5185.0	5	13.8
3	[1, 1, 0, 1, 0, 0, 0, 1, 0]	6061.0	4	13.4
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4471.0	5	6.4
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5734.0	5	17.2
3	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5091.0	4	6.2
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5399.0	5	14.0
3	[1, 0, 0, 1, 0, 0, 0, 0, 1]	6162.0	3	12.0
3	[1, 1, 1, 1, 0, 1, 0, 1, 1]	5293.0	7	16.200000000000003
3	[1, 0, 1, 1, 0, 1, 0, 1, 1]	5065.0	6	11.600000000000001
3	[1, 0, 0, 1, 0, 1, 0, 0, 1]	5245.0	4	8.0
3	[1, 0, 0, 0, 0, 1, 0, 0, 1]	13163.0	3	14.8
3	[1, 1, 0, 1, 1, 0, 0, 1, 0]	5426.0	5	16.8
3	[1, 1, 0, 1, 0, 0, 0, 1, 0]	4716.0	4	5.800000000000001
3	[0, 1, 0, 1, 1, 1, 0, 1, 1]	12092.0	6	23.4
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5403.0	3	8.6
3	[1, 1, 0, 1, 0, 0, 0, 1, 0]	5646.0	4	14.600000000000001
4	[1, 1, 0, 1, 0, 0, 0, 1, 0]	4402.0	4	0.8
4	[1, 0, 0, 1, 0, 0, 1, 0, 1]	4441.0	4	3.6
4	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5218.0	5	13.600000000000001
4	[1, 0, 0, 1, 0, 1, 0, 0, 1]	5358.0	4	11.4
4	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4647.0	3	3.0
4	[1, 0, 1, 1, 0, 1, 0, 1, 1]	5060.0	6	15.600000000000001
4	[1, 1, 1, 1, 0, 0, 1, 0, 1]	5721.0	6	23.4
4	[1, 0, 0, 1, 0, 1, 0, 1, 0]	5569.0	4	14.2
4	[1, 0, 0, 1, 0, 1, 1, 1, 1]	4988.0	6	15.200000000000001
4	[1, 0, 1, 1, 0, 0, 1, 0, 1]	5586.0	5	18.4
4	[1, 0, 1, 1, 0, 0, 0, 1, 0]	5100.0	4	11.0
4	[1, 1, 0, 1, 1, 0, 0, 1, 0]	4417.0	5	8.2
4	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5879.0	5	22.0
4	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5520.0	4	14.8
4	[1, 1, 0, 1, 0, 0, 1, 0, 1]	5028.0	5	13.8
5	[1, 1, 0, 1, 0, 0, 0, 1, 0]	5286.0	4	6.800000000000001
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5592.0	3	7.8
5	[1, 0, 0, 1, 0, 0, 1, 0, 1]	6083.0	4	15.600000000000001
5	[1, 1, 0, 1, 1, 0, 0, 1, 0]	5680.0	5	17.6
5	[1, 0, 1, 1, 0, 0, 0, 1, 0]	6359.0	4	17.4
5	[1, 0, 0, 1, 0, 1, 0, 0, 1]	4873.0	4	8.2
5	[1, 1, 1, 1, 0, 0, 0, 1, 0]	5567.0	5	16.4
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4611.0	3	1.6
5	[1, 1, 0, 1, 1, 0, 0, 1, 0]	5331.0	5	14.200000000000001
5	[1, 1, 0, 0, 0, 0, 1, 1, 0]	14357.0	4	22.0
5	[1, 1, 0, 0, 0, 0, 0, 1, 0]	11289.0	3	14.4
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5514.0	3	8.2
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5919.0	3	13.0
5	[0, 0, 0, 1, 0, 0, 0, 1, 0]	12862.0	2	13.0
5	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5421.0	4	12.8
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5620.0	3	10.6
6	[1, 1, 0, 1, 0, 0, 0, 1, 0]	4913.0	4	10.4
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5554.0	3	10.4
6	[1, 0, 0, 1, 0, 1, 0, 0, 1]	5531.0	4	14.2
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4755.0	3	4.2
6	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5682.0	4	19.0
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5656.0	3	14.0
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4386.0	3	4.800000000000001
6	[0, 0, 0, 1, 0, 0, 0, 1, 0]	13268.0	2	14.0
6	[1, 0, 0, 1, 0, 0, 1, 0, 1]	5813.0	4	21.8
6	[1, 0, 1, 1, 1, 0, 0, 1, 0]	5179.0	5	15.4
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4851.0	2	2.8
6	[1, 1, 1, 1, 0, 0, 0, 1, 0]	4886.0	5	14.200000000000001
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5426.0	3	11.600000000000001
6	[1, 0, 0, 1, 1, 0, 0, 1, 0]	5692.0	4	21.6
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5112.0	2	9.0
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5461.0	3	15.0
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4772.0	3	10.8
7	[1, 1, 0, 1, 0, 0, 0, 1, 0]	4776.0	4	17.4
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5542.0	3	18.6
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5498.0	3	18.4
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4522.0	3	10.2
7	[1, 0, 1, 1, 0, 1, 0, 1, 0]	4976.0	5	19.200000000000003
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4623.0	2	4.8
7	[1, 1, 0, 1, 0, 0, 0, 0, 0]	4724.0	3	13.0
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3853.0	2	1.6
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5338.0	2	12.4
7	[1, 0, 0, 1, 0, 0, 0, 0, 1]	4326.0	3	10.8
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4279.0	3	10.600000000000001
7	[1, 0, 0, 0, 0, 0, 0, 1, 0]	13863.0	2	17.2
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5796.0	2	10.0
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5269.0	2	7.8
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6068.0	2	13.6
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5183.0	3	11.600000000000001
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5275.0	3	14.4
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4746.0	3	8.2
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5158.0	3	13.0
8	[0, 1, 0, 1, 0, 0, 1, 0, 0]	13127.0	3	22.8
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4827.0	2	4.4
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4890.0	2	6.2
8	[1, 0, 0, 1, 0, 1, 0, 1, 0]	5845.0	4	22.200000000000003
8	[1, 1, 0, 1, 0, 0, 0, 0, 0]	4506.0	3	9.600000000000001
8	[1, 1, 0, 1, 0, 0, 0, 0, 0]	6117.0	3	23.4
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5722.0	2	13.0
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4924.0	2	8.8
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5096.0	2	4.8
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6521.0	2	14.6
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4345.0	2	3.4000000000000004
9	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4971.0	3	11.0
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6209.0	2	15.2
9	[1, 1, 0, 1, 0, 0, 0, 0, 0]	5135.0	3	13.8
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5160.0	2	10.0
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4729.0	2	6.800000000000001
9	[1, 0, 0, 1, 0, 0, 1, 0, 0]	5415.0	3	18.6
9	[1, 0, 1, 1, 0, 1, 0, 0, 0]	5264.0	4	17.4
9	[1, 1, 0, 1, 0, 0, 1, 0, 0]	5293.0	4	19.200000000000003
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4150.0	2	5.6000000000000005
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6149.0	2	17.4
9	[1, 0, 0, 0, 0, 0, 0, 0, 0]	12520.0	1	14.0
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6074.0	2	17.2
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4819.0	2	6.8
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5490.0	2	12.6
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4687.0	2	7.4
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5310.0	2	13.2
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4971.0	2	12.0
10	[1, 0, 0, 1, 0, 0, 0, 1, 0]	4442.0	3	6.4
10	[1, 0, 0, 0, 0, 0, 0, 0, 0]	13367.0	1	14.0
10	[1, 0, 0, 1, 1, 0, 0, 0, 0]	4585.0	3	8.2
10	[1, 0, 0, 1, 0, 0, 1, 0, 0]	4951.0	3	15.0
10	[1, 1, 0, 1, 0, 0, 0, 0, 0]	5147.0	3	17.8
10	[1, 1, 0, 1, 0, 0, 0, 1, 0]	6676.0	4	22.6
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4633.0	2	7.800000000000001
10	[1, 0, 0, 1, 1, 0, 1, 0, 0]	4667.0	4	14.4
10	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5653.0	2	17.6
10	[1, 0, 0, 1, 0, 0, 1, 1, 0]	4591.0	4	13.200000000000001
11	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6572.0	3	19.2
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3897.0	2	0.8
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6002.0	2	12.6
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4781.0	2	8.4
11	[1, 0, 0, 1, 1, 0, 0, 0, 0]	4589.0	3	13.0
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5513.0	2	12.2
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	5851.0	2	14.0
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4303.0	2	7.800000000000001
11	[1, 0, 1, 0, 0, 0, 0, 1, 0]	13485.0	3	21.8
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	3956.0	2	6.6000000000000005
11	[1, 0, 0, 1, 0, 0, 0, 1, 0]	5351.0	3	17.6
11	[1, 0, 0, 1, 0, 0, 0, 0, 0]	4173.0	2	8.4
11	[0, 0, 0, 1, 0, 0, 0, 0, 0]	13914.0	1	14.0
11	[1, 0, 1, 1, 0, 0, 0, 0, 0]	4314.0	3	14.4
11	[1, 0, 0, 1, 1, 0, 0, 0, 0]	5296.0	3	18.200000000000003
