INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[0, 1, 1, 0, 0, 1, 1, 1, 0]	9023.0	5	14.600000000000001
0	[1, 0, 1, 0, 1, 0, 0, 1, 0]	7988.0	4	10.2
0	[0, 1, 0, 0, 0, 1, 0, 1, 1]	10625.0	4	17.0
0	[1, 0, 1, 0, 1, 1, 1, 1, 1]	7311.0	7	16.200000000000003
0	[1, 1, 0, 1, 1, 0, 1, 0, 0]	6696.0	5	9.4
0	[0, 0, 1, 1, 1, 1, 0, 1, 1]	8619.0	6	16.0
0	[1, 1, 1, 1, 0, 1, 0, 0, 1]	6581.0	6	10.8
0	[1, 1, 0, 1, 1, 0, 0, 0, 0]	6533.0	4	4.800000000000001
0	[0, 1, 1, 1, 0, 1, 0, 1, 0]	9179.0	5	18.2
0	[0, 0, 1, 0, 0, 0, 0, 1, 1]	10956.0	3	15.6
0	[0, 1, 1, 0, 1, 1, 1, 0, 1]	7626.0	6	15.600000000000001
0	[0, 0, 0, 1, 0, 1, 0, 0, 0]	7111.0	2	4.0
0	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6563.0	2	1.8
0	[0, 1, 0, 1, 0, 0, 1, 0, 0]	9219.0	3	14.4
0	[0, 0, 1, 1, 1, 1, 1, 1, 0]	9125.0	6	20.4
1	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6534.0	2	2.8
1	[0, 0, 0, 1, 0, 1, 0, 0, 0]	7777.0	2	12.6
1	[1, 1, 0, 1, 1, 0, 0, 0, 0]	6670.0	4	12.8
1	[1, 1, 0, 1, 1, 0, 1, 0, 0]	6643.0	5	15.600000000000001
1	[1, 0, 1, 0, 1, 0, 0, 1, 0]	7303.0	4	14.600000000000001
1	[1, 1, 1, 1, 0, 1, 0, 0, 1]	6546.0	6	14.200000000000001
1	[1, 1, 0, 0, 1, 0, 1, 0, 0]	8219.0	4	20.4
1	[1, 1, 0, 0, 1, 0, 1, 0, 0]	7321.0	4	17.2
1	[0, 0, 0, 1, 0, 0, 0, 0, 0]	7872.0	1	13.0
1	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6610.0	3	7.2
1	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6462.0	3	4.0
1	[1, 0, 1, 0, 1, 0, 0, 1, 1]	7779.0	5	22.4
1	[1, 0, 0, 1, 0, 1, 1, 0, 0]	6614.0	4	13.0
1	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6653.0	2	9.4
1	[1, 0, 1, 1, 0, 0, 0, 1, 0]	6466.0	4	9.8
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6705.0	2	10.0
2	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6277.0	3	5.6000000000000005
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6718.0	3	17.4
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6499.0	2	3.8
2	[1, 0, 1, 1, 0, 0, 0, 1, 0]	6536.0	4	13.8
2	[0, 0, 0, 1, 0, 1, 0, 0, 0]	7116.0	2	14.6
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6658.0	2	11.4
2	[1, 1, 0, 1, 1, 0, 0, 0, 0]	6488.0	4	11.600000000000001
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6550.0	2	9.2
2	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6513.0	3	11.2
2	[1, 1, 0, 1, 0, 1, 0, 0, 0]	6558.0	4	18.4
2	[0, 1, 0, 1, 0, 1, 0, 1, 0]	9601.0	4	25.200000000000003
2	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6434.0	3	9.0
2	[1, 0, 0, 0, 0, 1, 0, 0, 0]	6957.0	2	16.0
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6553.0	2	11.8
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6595.0	2	8.0
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6547.0	3	9.8
3	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6425.0	3	5.6000000000000005
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6439.0	2	1.8
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6650.0	2	12.6
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6712.0	3	19.4
3	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6513.0	3	11.2
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6615.0	3	18.0
3	[0, 0, 0, 1, 0, 0, 0, 1, 0]	9459.0	2	16.4
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6578.0	3	14.8
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6679.0	2	15.2
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6506.0	2	7.0
3	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6461.0	3	11.600000000000001
3	[1, 0, 1, 1, 0, 0, 1, 0, 0]	6594.0	4	17.4
3	[1, 0, 1, 1, 0, 0, 0, 0, 1]	6605.0	4	20.200000000000003
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6543.0	2	7.0
4	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6478.0	3	7.6000000000000005
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6484.0	2	5.8
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6587.0	2	11.6
4	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6418.0	3	7.4
4	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6392.0	3	7.2
4	[1, 0, 1, 0, 0, 0, 0, 1, 0]	7189.0	3	22.0
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6644.0	2	15.4
4	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6482.0	3	12.8
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6534.0	2	9.2
4	[1, 1, 0, 1, 0, 0, 0, 0, 0]	6564.0	3	18.6
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6550.0	2	12.0
4	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6614.0	3	22.4
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6478.0	2	7.800000000000001
4	[1, 0, 1, 1, 0, 0, 0, 1, 0]	6606.0	4	22.200000000000003
5	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6948.0	2	12.8
5	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6541.0	2	5.6
5	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6439.0	3	6.6000000000000005
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6678.0	3	15.4
5	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6482.0	3	9.2
5	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6604.0	2	10.4
5	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6819.0	2	14.2
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6584.0	3	13.0
5	[1, 1, 0, 1, 0, 0, 0, 0, 0]	6505.0	3	11.8
5	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6433.0	3	9.600000000000001
5	[1, 0, 1, 1, 1, 0, 0, 0, 0]	6594.0	4	18.200000000000003
5	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6585.0	2	10.0
5	[0, 1, 0, 1, 0, 0, 0, 0, 0]	7278.0	2	18.8
5	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6738.0	3	20.4
5	[1, 0, 0, 0, 0, 0, 0, 0, 0]	7244.0	1	13.0
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6598.0	2	6.8
6	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6667.0	3	17.2
6	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6643.0	3	17.0
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6920.0	3	20.8
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6515.0	2	3.6
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6562.0	2	6.4
6	[1, 0, 1, 1, 0, 1, 0, 0, 0]	6517.0	4	14.200000000000001
6	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6473.0	3	10.600000000000001
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6729.0	2	14.2
6	[1, 0, 0, 0, 1, 0, 0, 0, 0]	7218.0	2	17.0
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6566.0	2	9.8
6	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6391.0	3	10.4
6	[1, 0, 0, 0, 0, 0, 0, 0, 0]	7439.0	1	14.0
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6629.0	2	13.600000000000001
6	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6616.0	2	13.4
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6539.0	2	4.0
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6445.0	2	0.8
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6667.0	2	10.6
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6891.0	2	14.4
7	[1, 0, 1, 1, 0, 0, 0, 0, 0]	6574.0	3	12.4
7	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6517.0	3	10.2
7	[1, 1, 0, 1, 0, 0, 0, 0, 0]	6746.0	3	19.0
7	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6549.0	3	13.8
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6490.0	2	4.2
7	[1, 0, 0, 1, 0, 1, 1, 0, 0]	6502.0	4	12.4
7	[1, 0, 0, 1, 0, 0, 0, 1, 1]	6989.0	4	24.200000000000003
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6604.0	2	11.0
7	[1, 0, 0, 1, 0, 0, 1, 0, 0]	6610.0	3	17.6
7	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6687.0	2	14.8
7	[0, 0, 0, 1, 0, 0, 1, 0, 0]	7997.0	2	19.6
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6636.0	2	9.8
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6506.0	2	4.6
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6632.0	2	10.4
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6611.0	3	12.4
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6570.0	2	7.2
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6466.0	2	4.0
8	[1, 0, 0, 0, 0, 0, 0, 0, 0]	7297.0	1	14.0
8	[1, 0, 0, 1, 0, 0, 0, 1, 0]	6618.0	3	14.2
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6665.0	2	15.8
8	[1, 0, 0, 1, 0, 0, 0, 1, 1]	6649.0	4	21.200000000000003
8	[1, 0, 0, 1, 1, 0, 0, 0, 0]	6749.0	3	21.0
8	[1, 0, 0, 1, 1, 0, 0, 0, 0]	6488.0	3	10.8
8	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6588.0	2	10.600000000000001
8	[1, 0, 0, 1, 0, 0, 1, 0, 0]	6727.0	3	21.6
8	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6476.0	3	11.4
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6545.0	2	5.0
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6586.0	2	9.8
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6594.0	2	11.6
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6559.0	2	9.4
9	[1, 0, 0, 1, 0, 0, 0, 0, 0]	6524.0	2	6.2
