INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 1, 0, 0, 0, 1, 1, 0, 0]	21829.0	4	14.2
0	[0, 1, 0, 0, 0, 1, 1, 0, 1]	21655.0	4	13.0
0	[0, 0, 0, 1, 1, 0, 0, 1, 0]	23688.0	3	14.8
0	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4493.0	3	1.6
0	[1, 1, 1, 1, 1, 0, 1, 0, 0]	6450.0	6	11.8
0	[0, 1, 0, 1, 0, 0, 1, 0, 1]	22649.0	4	16.8
0	[0, 1, 1, 0, 0, 0, 0, 1, 0]	19168.0	3	9.4
0	[0, 0, 1, 1, 0, 1, 0, 0, 1]	19747.0	4	13.600000000000001
0	[1, 1, 1, 0, 1, 0, 0, 0, 1]	22906.0	5	20.2
0	[1, 1, 0, 0, 1, 1, 1, 1, 0]	21758.0	6	19.6
0	[1, 0, 1, 1, 0, 1, 1, 0, 0]	8372.0	5	12.0
0	[1, 1, 0, 1, 0, 0, 1, 1, 1]	4709.0	6	11.4
0	[1, 0, 0, 0, 0, 0, 0, 0, 1]	18805.0	2	6.0
0	[1, 0, 1, 1, 0, 1, 1, 0, 1]	5825.0	6	13.200000000000001
0	[0, 0, 0, 1, 0, 1, 0, 1, 1]	18727.0	4	11.4
1	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6200.0	3	4.4
1	[1, 0, 0, 0, 0, 0, 0, 0, 1]	22641.0	2	14.0
1	[0, 1, 1, 0, 0, 0, 0, 1, 0]	19695.0	3	12.2
1	[1, 1, 0, 1, 0, 0, 1, 1, 1]	5236.0	6	11.4
1	[0, 0, 0, 1, 0, 1, 0, 1, 1]	20225.0	4	20.8
1	[1, 1, 1, 1, 1, 0, 1, 0, 0]	7380.0	6	15.200000000000001
1	[0, 0, 0, 1, 0, 1, 0, 0, 0]	20563.0	2	13.8
1	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4488.0	5	9.600000000000001
1	[1, 1, 0, 0, 0, 0, 0, 0, 1]	19748.0	3	14.0
1	[1, 0, 0, 0, 0, 0, 0, 1, 1]	19181.0	3	12.8
1	[0, 0, 0, 0, 0, 1, 0, 1, 1]	18953.0	3	12.600000000000001
1	[1, 0, 0, 0, 0, 0, 0, 0, 1]	16693.0	2	7.6
1	[1, 0, 0, 1, 0, 1, 0, 0, 0]	7857.0	3	11.4
1	[1, 0, 0, 0, 0, 1, 0, 0, 1]	19904.0	3	18.2
1	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6550.0	3	11.0
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	9040.0	3	11.6
2	[1, 0, 0, 0, 0, 0, 0, 0, 1]	20929.0	2	13.0
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	7918.0	5	14.2
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	8306.0	3	10.4
2	[1, 1, 0, 1, 0, 0, 1, 1, 1]	8695.0	6	19.4
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4702.0	3	4.2
2	[1, 0, 1, 1, 0, 1, 0, 0, 1]	6709.0	5	14.0
2	[1, 0, 0, 0, 0, 0, 0, 0, 1]	19631.0	2	12.8
2	[1, 1, 0, 1, 0, 1, 1, 1, 0]	5436.0	6	14.200000000000001
2	[1, 0, 0, 1, 0, 0, 0, 0, 1]	6367.0	3	9.0
2	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4511.0	3	4.800000000000001
2	[1, 0, 0, 0, 0, 1, 0, 0, 1]	21779.0	3	19.6
2	[1, 1, 0, 1, 0, 1, 0, 0, 0]	11427.0	4	17.4
2	[1, 0, 0, 1, 0, 0, 1, 1, 1]	5982.0	5	12.8
2	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4917.0	5	11.600000000000001
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	7796.0	3	9.0
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4579.0	3	1.8
3	[1, 0, 0, 1, 0, 0, 0, 0, 1]	8216.0	3	11.6
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	8813.0	3	13.4
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4812.0	3	6.2
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4586.0	5	10.8
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	11164.0	3	17.0
3	[1, 0, 0, 1, 1, 1, 0, 0, 0]	5445.0	4	13.0
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4831.0	5	13.600000000000001
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6412.0	3	11.8
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	9963.0	3	17.6
3	[1, 0, 0, 1, 1, 1, 0, 1, 1]	5894.0	6	17.200000000000003
3	[1, 0, 0, 1, 0, 1, 0, 1, 1]	4383.0	5	10.4
3	[0, 0, 0, 1, 0, 1, 1, 0, 0]	20699.0	3	20.4
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	7041.0	3	15.2
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4508.0	3	0.8
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	8217.0	3	12.6
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	10893.0	3	15.4
4	[1, 0, 0, 1, 0, 1, 0, 1, 1]	5930.0	5	16.6
4	[1, 0, 0, 1, 0, 1, 0, 1, 1]	6764.0	5	18.4
4	[1, 0, 0, 1, 0, 0, 0, 0, 1]	4989.0	3	6.2
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	5793.0	3	9.0
4	[1, 0, 0, 1, 0, 1, 0, 1, 1]	9579.0	5	23.200000000000003
4	[1, 0, 0, 1, 0, 1, 0, 1, 0]	5323.0	4	12.0
4	[1, 1, 0, 1, 0, 0, 0, 0, 0]	8058.0	3	14.8
4	[1, 0, 0, 0, 0, 0, 0, 0, 0]	21075.0	1	14.0
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4905.0	3	7.6000000000000005
4	[1, 1, 0, 1, 0, 1, 0, 0, 0]	5879.0	4	14.8
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	7384.0	3	15.4
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	4885.0	3	8.2
5	[1, 0, 0, 1, 0, 1, 0, 0, 0]	10274.0	3	11.8
5	[1, 0, 0, 1, 0, 0, 0, 0, 1]	5688.0	3	7.6
5	[1, 0, 0, 1, 0, 1, 0, 0, 0]	7056.0	3	9.4
5	[1, 0, 0, 1, 0, 1, 0, 0, 0]	9216.0	3	13.2
5	[1, 0, 0, 1, 0, 1, 0, 0, 0]	5387.0	3	8.0
