INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 1, 1, 1, 0, 1, 0, 0, 1]	13072.4	6	0.7795140984737432
0	[1, 0, 0, 1, 0, 0, 0, 0, 0]	13027.6	2	0.7270996809519703
0	[1, 1, 1, 1, 0, 1, 1, 0, 1]	13011.6	7	0.7887373889799086
0	[1, 1, 1, 1, 1, 1, 0, 1, 1]	12968.8	8	0.7989307579546433
0	[1, 1, 0, 1, 1, 0, 0, 0, 1]	13049.8	5	0.7657961110632059
0	[0, 0, 1, 1, 0, 0, 0, 0, 0]	16466.0	2	0.9124062257480383
0	[0, 0, 0, 0, 0, 1, 0, 1, 1]	18555.2	3	1.0375
0	[1, 1, 1, 1, 0, 0, 1, 1, 0]	12858.4	6	0.7679809433474174
0	[1, 1, 1, 0, 1, 1, 0, 1, 1]	15114.4	7	0.9020641114081228
0	[0, 1, 1, 0, 1, 0, 0, 0, 1]	14721.6	4	0.8433948434940071
1	[1, 0, 0, 1, 0, 0, 0, 0, 0]	12907.4	2	0.7814554884838539
1	[1, 1, 0, 1, 1, 0, 0, 0, 1]	13063.6	5	0.8281097989802497
1	[1, 1, 1, 1, 0, 0, 1, 1, 0]	13066.6	6	0.840785618003868
1	[1, 0, 0, 1, 1, 0, 0, 0, 1]	13200.4	4	0.8236271464572467
1	[1, 1, 0, 1, 1, 0, 0, 1, 1]	12844.6	6	0.8277750102561097
1	[0, 1, 0, 1, 0, 0, 1, 0, 0]	16463.6	3	1.0023713590810526
1	[1, 1, 1, 1, 1, 0, 0, 1, 1]	13053.2	7	0.852500293031706
1	[1, 1, 1, 1, 0, 1, 1, 0, 1]	12985.8	7	0.8485502256344136
1	[1, 1, 1, 1, 1, 1, 0, 1, 1]	12995.6	8	0.8616245677782336
1	[0, 1, 0, 1, 1, 0, 0, 0, 1]	17063.0	4	1.05
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	13076.6	2	1.0236864011975133
2	[1, 0, 0, 1, 1, 0, 0, 0, 1]	13093.8	4	1.05
2	[1, 1, 0, 1, 1, 0, 0, 1, 1]	12994.0	6	1.0673780720646413
2	[1, 1, 1, 1, 1, 0, 0, 0, 0]	12869.6	5	1.0453773923536331
2	[1, 1, 1, 1, 1, 1, 0, 1, 1]	12903.0	8	1.0854282179352062
2	[1, 1, 1, 1, 0, 1, 1, 0, 1]	12970.2	7	1.0780604179077122
2	[1, 1, 0, 1, 1, 0, 0, 0, 1]	13035.2	5	1.0580245994287374
2	[1, 0, 0, 1, 0, 0, 0, 0, 0]	13058.2	2	1.0222811559669462
2	[1, 0, 1, 1, 1, 0, 0, 0, 1]	13059.0	5	1.0598422535856664
2	[1, 1, 0, 1, 1, 0, 0, 1, 1]	12968.2	6	1.0654076738609113
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	12956.0	2	1.008112656097777
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	12988.4	2	1.0105622652187907
3	[1, 1, 1, 1, 1, 0, 0, 0, 0]	12861.2	5	1.0438024241193613
3	[1, 0, 0, 1, 0, 0, 0, 0, 0]	12952.8	2	1.007870719394467
3	[1, 0, 1, 1, 1, 0, 0, 0, 1]	12983.2	5	1.053026260933055
3	[1, 1, 1, 1, 1, 0, 1, 0, 1]	12904.0	7	1.075609756097561
3	[1, 1, 0, 1, 1, 0, 0, 0, 0]	13226.6	4	1.0571428571428572
3	[1, 1, 1, 1, 1, 0, 0, 0, 0]	12962.8	5	1.0514839144494534
3	[1, 1, 0, 1, 1, 0, 0, 0, 1]	13111.2	5	1.0627037290654546
3	[1, 1, 1, 1, 1, 0, 0, 0, 0]	13000.6	5	1.054341791757303
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	12890.8	2	1.0165532741454884
4	[1, 0, 0, 1, 0, 0, 0, 0, 0]	13110.8	2	1.0333333333333334
