INFO_TYPES: robot_position	robot_led_status	robot_lifter_status	robot_heading	robot_speed_status	robot_task_id	robot_pheromone_map	chosen_door	waypoint
generation	genome	ave_time	tot_weight	fitness
0	[1, 0, 1, 0, 0, 1, 1, 0, 1]	19217.8	5	0.940705478221649
0	[1, 1, 1, 0, 0, 1, 0, 0, 1]	19856.4	5	0.9695912108589988
0	[1, 1, 0, 0, 0, 1, 1, 1, 1]	22107.8	6	1.0857142857142856
0	[0, 1, 0, 1, 0, 0, 0, 0, 1]	20074.4	3	0.9508805554083691
0	[1, 1, 1, 0, 0, 1, 1, 1, 1]	20620.2	7	1.032711531676603
0	[1, 0, 1, 0, 1, 1, 0, 0, 0]	19447.8	4	0.9368233319074198
0	[0, 0, 0, 1, 0, 1, 0, 1, 0]	18914.0	3	0.8983922933470152
0	[0, 0, 1, 0, 1, 0, 1, 1, 1]	19760.6	5	0.965257898634354
0	[0, 1, 0, 1, 1, 1, 1, 1, 1]	20878.2	7	1.044381620966356
0	[1, 1, 0, 0, 1, 1, 1, 0, 1]	21244.2	6	1.04665114962657
1	[0, 0, 0, 1, 0, 1, 0, 1, 0]	19953.0	3	1.0225273760480083
1	[1, 0, 1, 0, 1, 1, 0, 0, 0]	19723.0	4	1.0314322376482166
1	[1, 0, 1, 0, 0, 1, 1, 0, 1]	20445.2	5	1.0862709722235624
1	[0, 0, 1, 0, 1, 0, 0, 1, 1]	20729.8	4	1.08
1	[1, 0, 0, 1, 0, 1, 0, 1, 0]	5841.4	4	0.361787571515403
1	[0, 1, 0, 1, 0, 1, 0, 1, 0]	19188.0	4	1.005623980935658
1	[0, 0, 0, 1, 0, 1, 0, 1, 0]	18818.6	3	0.967804223870949
1	[0, 0, 1, 0, 1, 0, 1, 1, 0]	20181.6	4	1.0535549788227576
1	[1, 0, 1, 0, 1, 0, 0, 0, 1]	20319.6	4	1.0602120618626325
1	[1, 0, 1, 0, 0, 0, 1, 1, 1]	18395.8	5	0.9874084651082017
2	[1, 0, 0, 1, 0, 1, 0, 1, 0]	5853.2	4	0.33079482059763654
2	[0, 0, 0, 1, 0, 1, 0, 1, 0]	20181.4	3	0.9247219627569778
2	[1, 0, 1, 0, 0, 0, 1, 1, 1]	19718.0	5	0.9448664444311141
2	[0, 1, 0, 1, 1, 1, 0, 0, 0]	23338.6	4	1.08
2	[1, 0, 1, 0, 1, 1, 0, 1, 0]	20104.0	5	0.9614055684574053
2	[1, 0, 1, 0, 0, 0, 1, 1, 1]	19288.8	5	0.9264763096329686
2	[1, 0, 1, 0, 0, 0, 1, 1, 1]	18311.4	5	0.884597190919764
2	[1, 0, 0, 0, 0, 0, 1, 1, 1]	17820.6	4	0.843567651872863
2	[1, 0, 1, 1, 0, 1, 0, 1, 0]	6173.4	5	0.36451458099457557
2	[1, 0, 0, 0, 0, 0, 1, 1, 1]	16877.6	4	0.8031624861816904
3	[1, 0, 0, 1, 0, 1, 0, 1, 0]	7314.0	4	0.43693578761922114
3	[1, 0, 1, 1, 0, 1, 0, 1, 0]	7333.2	5	0.45457444869692
3	[1, 0, 0, 0, 0, 0, 1, 1, 1]	17082.0	4	0.9314379442318206
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6736.8	3	0.3910485389709009
3	[1, 0, 0, 0, 0, 0, 0, 1, 0]	19553.4	2	1.0232185164935304
3	[1, 0, 0, 1, 0, 1, 1, 1, 0]	7349.8	5	0.4554148188647915
3	[1, 0, 0, 1, 0, 1, 0, 0, 0]	6092.8	3	0.358446226434198
3	[1, 0, 1, 0, 0, 1, 0, 1, 1]	19753.2	5	1.0833333333333333
3	[1, 0, 1, 1, 0, 0, 0, 1, 1]	6700.2	5	0.42252900795820425
3	[1, 0, 1, 1, 0, 1, 0, 1, 1]	5852.0	6	0.39625579652917
4	[1, 0, 0, 1, 0, 1, 0, 0, 0]	5778.8	3	0.3360678784998614
