id	exp	type	num_rob	timesteps
0	traffic	baseline	10	13666
1	traffic	baseline	10	13890
2	traffic	baseline	10	13686
3	traffic	baseline	10	13656
4	traffic	baseline	10	13645
5	traffic	baseline	10	13600
6	traffic	baseline	10	13602
7	traffic	baseline	10	13553
8	traffic	baseline	10	13325
9	traffic	baseline	10	13524
10	traffic	baseline	10	13468
11	traffic	baseline	10	13510
12	traffic	baseline	10	13548
13	traffic	baseline	10	13249
14	traffic	baseline	10	13697
15	traffic	baseline	10	13993
16	traffic	baseline	10	13505
17	traffic	baseline	10	13584
18	traffic	baseline	10	13086
19	traffic	baseline	10	13363
20	traffic	baseline	10	13257
21	traffic	baseline	10	13704
22	traffic	baseline	10	13688
23	traffic	baseline	10	13720
24	traffic	baseline	10	14168
25	traffic	baseline	10	13869
26	traffic	baseline	10	13396
27	traffic	baseline	10	14001
28	traffic	baseline	10	13371
29	traffic	baseline	10	13626
0	traffic	baseline	20	7225
1	traffic	baseline	20	6956
2	traffic	baseline	20	7088
3	traffic	baseline	20	9436
4	traffic	baseline	20	7665
5	traffic	baseline	20	7434
6	traffic	baseline	20	7308
7	traffic	baseline	20	7844
8	traffic	baseline	20	7067
9	traffic	baseline	20	8211
10	traffic	baseline	20	7240
11	traffic	baseline	20	8341
12	traffic	baseline	20	7178
13	traffic	baseline	20	6911
14	traffic	baseline	20	7204
15	traffic	baseline	20	11392
16	traffic	baseline	20	7499
17	traffic	baseline	20	7422
18	traffic	baseline	20	8263
19	traffic	baseline	20	8197
20	traffic	baseline	20	7366
21	traffic	baseline	20	8331
22	traffic	baseline	20	8725
23	traffic	baseline	20	7532
24	traffic	baseline	20	7769
25	traffic	baseline	20	7197
26	traffic	baseline	20	7486
27	traffic	baseline	20	10346
28	traffic	baseline	20	7484
29	traffic	baseline	20	7310
0	traffic	baseline	50	9153
1	traffic	baseline	50	8652
2	traffic	baseline	50	8560
3	traffic	baseline	50	7498
4	traffic	baseline	50	6479
5	traffic	baseline	50	9533
6	traffic	baseline	50	8520
7	traffic	baseline	50	7199
8	traffic	baseline	50	10369
9	traffic	baseline	50	8434
10	traffic	baseline	50	8597
11	traffic	baseline	50	11577
12	traffic	baseline	50	12091
13	traffic	baseline	50	8542
14	traffic	baseline	50	9460
15	traffic	baseline	50	9655
16	traffic	baseline	50	7191
17	traffic	baseline	50	6224
18	traffic	baseline	50	8024
19	traffic	baseline	50	9372
20	traffic	baseline	50	10618
21	traffic	baseline	50	9712
22	traffic	baseline	50	9491
23	traffic	baseline	50	8040
24	traffic	baseline	50	11455
25	traffic	baseline	50	8868
26	traffic	baseline	50	10583
27	traffic	baseline	50	10539
28	traffic	baseline	50	8996
29	traffic	baseline	50	9319
0	traffic	baseline	100	9360
1	traffic	baseline	100	7047
2	traffic	baseline	100	6555
3	traffic	baseline	100	6347
4	traffic	baseline	100	6819
5	traffic	baseline	100	9229
6	traffic	baseline	100	8004
7	traffic	baseline	100	7965
8	traffic	baseline	100	6598
9	traffic	baseline	100	6724
10	traffic	baseline	100	7972
11	traffic	baseline	100	7766
12	traffic	baseline	100	7328
13	traffic	baseline	100	6340
14	traffic	baseline	100	7764
15	traffic	baseline	100	7702
16	traffic	baseline	100	8064
17	traffic	baseline	100	7166
18	traffic	baseline	100	6871
19	traffic	baseline	100	6436
20	traffic	baseline	100	7787
21	traffic	baseline	100	9576
22	traffic	baseline	100	5368
23	traffic	baseline	100	8105
24	traffic	baseline	100	8438
25	traffic	baseline	100	6911
26	traffic	baseline	100	6855
27	traffic	baseline	100	8361
28	traffic	baseline	100	7095
29	traffic	baseline	100	6623
0	traffic	baseline	200	1796
1	traffic	baseline	200	2121
2	traffic	baseline	200	2011
3	traffic	baseline	200	1785
4	traffic	baseline	200	1655
5	traffic	baseline	200	2184
6	traffic	baseline	200	1883
7	traffic	baseline	200	2388
8	traffic	baseline	200	2806
9	traffic	baseline	200	1739
10	traffic	baseline	200	1384
11	traffic	baseline	200	2069
12	traffic	baseline	200	1886
13	traffic	baseline	200	1439
14	traffic	baseline	200	1866
15	traffic	baseline	200	2270
16	traffic	baseline	200	1681
17	traffic	baseline	200	1942
18	traffic	baseline	200	2238
19	traffic	baseline	200	2576
20	traffic	baseline	200	2635
21	traffic	baseline	200	1549
22	traffic	baseline	200	1786
23	traffic	baseline	200	1611
24	traffic	baseline	200	2669
25	traffic	baseline	200	2665
26	traffic	baseline	200	2005
27	traffic	baseline	200	3826
28	traffic	baseline	200	2999
29	traffic	baseline	200	2691
