id	exp	type	num_rob	timesteps
0	traffic	centralised	10	11899
1	traffic	centralised	10	11899
2	traffic	centralised	10	11899
3	traffic	centralised	10	11899
4	traffic	centralised	10	11899
5	traffic	centralised	10	11899
6	traffic	centralised	10	11899
7	traffic	centralised	10	11899
8	traffic	centralised	10	11899
9	traffic	centralised	10	11899
10	traffic	centralised	10	11899
11	traffic	centralised	10	11899
12	traffic	centralised	10	11899
13	traffic	centralised	10	11899
14	traffic	centralised	10	11899
15	traffic	centralised	10	11834
16	traffic	centralised	10	11834
17	traffic	centralised	10	11834
18	traffic	centralised	10	11834
19	traffic	centralised	10	11834
20	traffic	centralised	10	11834
21	traffic	centralised	10	11834
22	traffic	centralised	10	11834
23	traffic	centralised	10	11834
24	traffic	centralised	10	11834
25	traffic	centralised	10	11834
26	traffic	centralised	10	11834
27	traffic	centralised	10	11834
28	traffic	centralised	10	12222
29	traffic	centralised	10	12222
0	traffic	centralised	20	5901
1	traffic	centralised	20	5901
2	traffic	centralised	20	5901
3	traffic	centralised	20	5901
4	traffic	centralised	20	5901
5	traffic	centralised	20	5901
6	traffic	centralised	20	5901
7	traffic	centralised	20	5901
8	traffic	centralised	20	5901
9	traffic	centralised	20	5901
10	traffic	centralised	20	5901
11	traffic	centralised	20	5901
12	traffic	centralised	20	5901
13	traffic	centralised	20	5901
14	traffic	centralised	20	5901
15	traffic	centralised	20	5969
16	traffic	centralised	20	5969
17	traffic	centralised	20	5969
18	traffic	centralised	20	5969
19	traffic	centralised	20	5969
20	traffic	centralised	20	5969
21	traffic	centralised	20	5969
22	traffic	centralised	20	5969
23	traffic	centralised	20	5969
24	traffic	centralised	20	5969
25	traffic	centralised	20	5969
26	traffic	centralised	20	5969
27	traffic	centralised	20	5969
28	traffic	centralised	20	5969
29	traffic	centralised	20	5969
0	traffic	centralised	50	2876
1	traffic	centralised	50	2876
2	traffic	centralised	50	2876
3	traffic	centralised	50	2876
4	traffic	centralised	50	2876
5	traffic	centralised	50	2876
6	traffic	centralised	50	2876
7	traffic	centralised	50	2876
8	traffic	centralised	50	2876
9	traffic	centralised	50	2876
10	traffic	centralised	50	2876
11	traffic	centralised	50	2876
12	traffic	centralised	50	2876
13	traffic	centralised	50	2876
14	traffic	centralised	50	2876
15	traffic	centralised	50	2669
16	traffic	centralised	50	2669
17	traffic	centralised	50	2669
18	traffic	centralised	50	2669
19	traffic	centralised	50	2669
20	traffic	centralised	50	2669
21	traffic	centralised	50	2669
22	traffic	centralised	50	2669
23	traffic	centralised	50	2669
24	traffic	centralised	50	2669
25	traffic	centralised	50	2669
26	traffic	centralised	50	2669
27	traffic	centralised	50	2669
28	traffic	centralised	50	2669
29	traffic	centralised	50	2669
0	traffic	centralised	100	2066
1	traffic	centralised	100	2066
2	traffic	centralised	100	2066
3	traffic	centralised	100	2066
4	traffic	centralised	100	2066
5	traffic	centralised	100	2066
6	traffic	centralised	100	2066
7	traffic	centralised	100	2066
8	traffic	centralised	100	2066
9	traffic	centralised	100	2066
10	traffic	centralised	100	2066
11	traffic	centralised	100	2066
12	traffic	centralised	100	2066
13	traffic	centralised	100	2066
14	traffic	centralised	100	2066
15	traffic	centralised	100	1827
16	traffic	centralised	100	1827
17	traffic	centralised	100	1827
18	traffic	centralised	100	1827
19	traffic	centralised	100	1827
20	traffic	centralised	100	1827
21	traffic	centralised	100	1827
22	traffic	centralised	100	1827
23	traffic	centralised	100	1827
24	traffic	centralised	100	1827
25	traffic	centralised	100	1827
26	traffic	centralised	100	1827
27	traffic	centralised	100	1827
28	traffic	centralised	100	1827
29	traffic	centralised	100	1576
0	traffic	centralised	200	1367
1	traffic	centralised	200	1367
2	traffic	centralised	200	1367
3	traffic	centralised	200	1367
4	traffic	centralised	200	1367
5	traffic	centralised	200	1367
6	traffic	centralised	200	1367
7	traffic	centralised	200	1367
8	traffic	centralised	200	1367
9	traffic	centralised	200	1367
10	traffic	centralised	200	1367
11	traffic	centralised	200	1367
12	traffic	centralised	200	1367
13	traffic	centralised	200	1367
14	traffic	centralised	200	1367
15	traffic	centralised	200	1575
16	traffic	centralised	200	1575
17	traffic	centralised	200	1575
18	traffic	centralised	200	1575
19	traffic	centralised	200	1575
20	traffic	centralised	200	1575
21	traffic	centralised	200	1575
22	traffic	centralised	200	1575
23	traffic	centralised	200	1575
24	traffic	centralised	200	1575
25	traffic	centralised	200	1575
26	traffic	centralised	200	1575
27	traffic	centralised	200	1575
28	traffic	centralised	200	1575
29	traffic	centralised	200	1575
