id	exp	type	num_rob	timesteps
0	traffic	naive	10	13011
1	traffic	naive	10	12989
2	traffic	naive	10	12890
3	traffic	naive	10	13058
4	traffic	naive	10	13111
5	traffic	naive	10	13182
6	traffic	naive	10	12816
7	traffic	naive	10	13040
8	traffic	naive	10	13345
9	traffic	naive	10	13255
10	traffic	naive	10	13118
11	traffic	naive	10	12901
12	traffic	naive	10	12927
13	traffic	naive	10	12864
14	traffic	naive	10	13168
15	traffic	naive	10	12691
16	traffic	naive	10	13331
17	traffic	naive	10	12937
18	traffic	naive	10	12467
19	traffic	naive	10	13555
20	traffic	naive	10	13608
21	traffic	naive	10	13046
22	traffic	naive	10	13246
23	traffic	naive	10	12784
24	traffic	naive	10	13095
25	traffic	naive	10	13065
26	traffic	naive	10	12783
27	traffic	naive	10	13354
28	traffic	naive	10	13358
29	traffic	naive	10	12872
0	traffic	naive	20	6698
1	traffic	naive	20	6717
2	traffic	naive	20	6936
3	traffic	naive	20	6659
4	traffic	naive	20	6625
5	traffic	naive	20	6621
6	traffic	naive	20	6574
7	traffic	naive	20	6609
8	traffic	naive	20	6770
9	traffic	naive	20	6770
10	traffic	naive	20	6602
11	traffic	naive	20	6689
12	traffic	naive	20	6553
13	traffic	naive	20	6725
14	traffic	naive	20	6830
15	traffic	naive	20	6662
16	traffic	naive	20	6625
17	traffic	naive	20	6527
18	traffic	naive	20	6601
19	traffic	naive	20	6767
20	traffic	naive	20	6497
21	traffic	naive	20	6576
22	traffic	naive	20	6533
23	traffic	naive	20	6634
24	traffic	naive	20	6584
25	traffic	naive	20	6690
26	traffic	naive	20	6817
27	traffic	naive	20	6695
28	traffic	naive	20	6951
29	traffic	naive	20	6613
0	traffic	naive	50	3021
1	traffic	naive	50	3201
2	traffic	naive	50	3396
3	traffic	naive	50	3199
4	traffic	naive	50	2905
5	traffic	naive	50	2995
6	traffic	naive	50	5162
7	traffic	naive	50	3287
8	traffic	naive	50	4720
9	traffic	naive	50	2871
10	traffic	naive	50	3070
11	traffic	naive	50	3203
12	traffic	naive	50	3078
13	traffic	naive	50	2927
14	traffic	naive	50	3029
15	traffic	naive	50	3324
16	traffic	naive	50	3410
17	traffic	naive	50	3085
18	traffic	naive	50	2882
19	traffic	naive	50	3006
20	traffic	naive	50	3333
21	traffic	naive	50	3087
22	traffic	naive	50	2842
23	traffic	naive	50	3274
24	traffic	naive	50	2982
25	traffic	naive	50	3281
26	traffic	naive	50	2886
27	traffic	naive	50	3164
28	traffic	naive	50	2874
29	traffic	naive	50	3183
0	traffic	naive	100	2124
1	traffic	naive	100	2288
2	traffic	naive	100	2120
3	traffic	naive	100	2289
4	traffic	naive	100	2221
5	traffic	naive	100	2070
6	traffic	naive	100	2267
7	traffic	naive	100	2789
8	traffic	naive	100	2123
9	traffic	naive	100	2282
10	traffic	naive	100	2186
11	traffic	naive	100	2296
12	traffic	naive	100	2762
13	traffic	naive	100	3541
14	traffic	naive	100	2452
15	traffic	naive	100	2732
16	traffic	naive	100	2028
17	traffic	naive	100	3170
18	traffic	naive	100	2650
19	traffic	naive	100	2323
20	traffic	naive	100	2067
21	traffic	naive	100	2470
22	traffic	naive	100	2353
23	traffic	naive	100	2134
24	traffic	naive	100	2068
25	traffic	naive	100	2022
26	traffic	naive	100	2093
27	traffic	naive	100	2225
28	traffic	naive	100	1922
29	traffic	naive	100	2230
0	traffic	naive	200	1793
1	traffic	naive	200	2001
2	traffic	naive	200	2226
3	traffic	naive	200	2381
4	traffic	naive	200	2159
5	traffic	naive	200	2131
6	traffic	naive	200	1732
7	traffic	naive	200	2386
8	traffic	naive	200	2415
9	traffic	naive	200	2028
10	traffic	naive	200	1917
11	traffic	naive	200	2117
12	traffic	naive	200	2046
13	traffic	naive	200	1758
14	traffic	naive	200	1854
15	traffic	naive	200	1869
16	traffic	naive	200	1869
17	traffic	naive	200	2048
18	traffic	naive	200	2585
19	traffic	naive	200	2271
20	traffic	naive	200	1697
21	traffic	naive	200	2042
22	traffic	naive	200	1730
23	traffic	naive	200	2700
24	traffic	naive	200	2104
25	traffic	naive	200	1818
26	traffic	naive	200	2067
27	traffic	naive	200	1938
28	traffic	naive	200	2067
29	traffic	naive	200	1903
