id	exp	type	num_rob	timesteps
0	traffic	distributed	10	28079
1	traffic	distributed	10	28428
2	traffic	distributed	10	27738
3	traffic	distributed	10	28532
4	traffic	distributed	10	27977
5	traffic	distributed	10	28548
6	traffic	distributed	10	28295
7	traffic	distributed	10	27525
8	traffic	distributed	10	28308
9	traffic	distributed	10	28106
10	traffic	distributed	10	27730
11	traffic	distributed	10	27935
12	traffic	distributed	10	27763
13	traffic	distributed	10	27450
14	traffic	distributed	10	27337
15	traffic	distributed	10	28361
16	traffic	distributed	10	28459
17	traffic	distributed	10	27959
18	traffic	distributed	10	27507
19	traffic	distributed	10	28624
0	traffic	distributed	50	19357
1	traffic	distributed	50	24010
2	traffic	distributed	50	20426
3	traffic	distributed	50	14332
4	traffic	distributed	50	18133
5	traffic	distributed	50	18866
6	traffic	distributed	50	21606
7	traffic	distributed	50	23018
8	traffic	distributed	50	16938
9	traffic	distributed	50	19102
